sentence Id,sentence,aspect_categories,aspect_terms,polarity
505535:1,"the pad se ew chicken was delicious, however the pad thai was far too oily.","['FOOD#QUALITY', 'FOOD#QUALITY']","['pad se ew chicken', 'pad thai']","['positive', 'negative']"
1016296:0,I was very disappointed with this restaurant.,['RESTAURANT#GENERAL'],['restaurant'],['negative']
1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,['SERVICE#GENERAL'],['cart attendant'],['negative']
1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,['SERVICE#GENERAL'],['NULL'],['negative']
1016296:3,"Food was okay, nothing great.",['FOOD#QUALITY'],['Food'],['neutral']
1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,"['FOOD#QUALITY', 'FOOD#QUALITY', 'RESTAURANT#MISCELLANEOUS']","['Chow fun', 'pork shu mai', 'NULL']","['negative', 'negative', 'negative']"
1016296:5,I/we will never go back to this place again.,['RESTAURANT#GENERAL'],['place'],['negative']
Z#3:0,"Excellent food, although the interior could use some help.","['FOOD#QUALITY', 'AMBIENCE#GENERAL']","['food', 'interior']","['positive', 'negative']"
Z#3:1,"The space kind of feels like an Alice in Wonderland setting, without it trying to be that.",['AMBIENCE#GENERAL'],['space'],['negative']
Z#3:2,"I paid just about $60 for a good meal, though :)","['FOOD#QUALITY', 'FOOD#PRICES']","['meal', 'meal']","['positive', 'positive']"
Z#3:3,Great sake!,['DRINKS#QUALITY'],['sake'],['positive']
PP#9:0,Way below average,['RESTAURANT#GENERAL'],['NULL'],['negative']
PP#9:1,I think the pizza is so overrated and was under cooked.,['FOOD#QUALITY'],['pizza'],['negative']
PP#9:2,Had no flavor and the staff is rude and not attentive.,"['SERVICE#GENERAL', 'FOOD#QUALITY']","['staff', 'NULL']","['negative', 'negative']"
PP#9:3,Would NEVER go back,['RESTAURANT#GENERAL'],['NULL'],['negative']
