sentence,aspect_category,polarity
I have had nothing but problems since the day I took it out of the box!,LAPTOP#GENERAL,negative
I have had nothing but problems since the day I took it out of the box!,LAPTOP#QUALITY,negative
My first problem was with the pre-loaded Norton Firewall/Security program.,SOFTWARE#GENERAL,negative
It would not let me connect to my Wifi system where I lived.,LAPTOP#CONNECTIVITY,negative
It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,SUPPORT#QUALITY,negative
"Then just the other day, my left ""mouse"" button snapped!",MOUSE#QUALITY,negative
"Being only 2 months old, I am not a happy camper!",LAPTOP#QUALITY,negative
Buyer Beware.,LAPTOP#GENERAL,negative
"this one, in my opinion, might be a lemon!",LAPTOP#QUALITY,negative
It rarely works and when it does it's incredibly slow.,LAPTOP#QUALITY,negative
It rarely works and when it does it's incredibly slow.,LAPTOP#OPERATION_PERFORMANCE,negative
I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!,LAPTOP#QUALITY,negative
"*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!",LAPTOP#GENERAL,negative
Like the price and operation.,LAPTOP#PRICE,positive
Like the price and operation.,LAPTOP#OPERATION_PERFORMANCE,positive
"Some features arent friendly ( volume wheel, sound quality, etc.",LAPTOP#USABILITY,negative
"Some features arent friendly ( volume wheel, sound quality, etc.",MULTIMEDIA_DEVICES#USABILITY,negative
"Some features arent friendly ( volume wheel, sound quality, etc.",MULTIMEDIA_DEVICES#QUALITY,negative
"But, for the cost this is a winner.",LAPTOP#GENERAL,positive
"But, for the cost this is a winner.",LAPTOP#PRICE,neutral
I absolutely love my mac!,LAPTOP#GENERAL,positive
I can't imagine my life without it anymore!,LAPTOP#GENERAL,positive
I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,LAPTOP#GENERAL,positive
I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,PORTS#QUALITY,negative
Apparently they are defective since they are not securely attached.,PORTS#QUALITY,negative
I can barely use any usb devices because they will not stay connected properly.,LAPTOP#CONNECTIVITY,negative
I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.,SUPPORT#QUALITY,negative
I think I might rather suffer for something that is simple to fix in my opinion.,SUPPORT#QUALITY,negative
I bought this laptop Was the worst Laptop I've ever bought.,LAPTOP#GENERAL,negative
I spent alot of money on this product and its been a nightmare.,LAPTOP#PRICE,negative
I spent alot of money on this product and its been a nightmare.,LAPTOP#GENERAL,negative
And having to deal with the company has been a even worse nightmare.,SUPPORT#QUALITY,negative
They sent it back with a huge crack in it and it still didn't work.,SUPPORT#QUALITY,negative
And that was the fourth time ive sent it to them to get fixed.,SUPPORT#QUALITY,negative
Its been a year and am still waiting to see what there going to do about my laptop.,SUPPORT#QUALITY,negative
So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,COMPANY#GENERAL,negative
I saved for this laptop for 3 months and I can tell you personally it was worth the wait.,LAPTOP#GENERAL,positive
"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",DISPLAY#GENERAL,positive
"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",BATTERY#OPERATION_PERFORMANCE,positive
"A little pricey but it is well, well worth it.",LAPTOP#PRICE,negative
"A little pricey but it is well, well worth it.",LAPTOP#GENERAL,positive
It is amazing.,LAPTOP#GENERAL,positive
In the first moth of owning this computer its hardrive failed which had to be replaced.,HARD_DISC#QUALITY,negative
After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,BATTERY#QUALITY,negative
After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,BATTERY#OPERATION_PERFORMANCE,negative
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,POWER_SUPPLY#QUALITY,negative
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,POWER_SUPPLY#OPERATION_PERFORMANCE,negative
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,HARDWARE#QUALITY,negative
A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,LAPTOP#GENERAL,negative
A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,LAPTOP#QUALITY,negative
Has a 5-6 hour battery life.,BATTERY#OPERATION_PERFORMANCE,positive
It is easy to use and lightweight.,LAPTOP#USABILITY,positive
It is easy to use and lightweight.,LAPTOP#DESIGN_FEATURES,positive
Was very much worth the price i paid.,LAPTOP#GENERAL,positive
Was very much worth the price i paid.,LAPTOP#PRICE,positive
This netbook went bad on me after 3 days.,LAPTOP#QUALITY,negative
There is a blank lighted screen when I start and that is all.,DISPLAY#OPERATION_PERFORMANCE,negative
"Three weeks after I bought the netbook, the screen quit working.",DISPLAY#QUALITY,negative
"Three weeks after I bought the netbook, the screen quit working.",DISPLAY#OPERATION_PERFORMANCE,negative
I baby my electronics so I know for a fact it was defective and not anything that I did to it.,DISPLAY#QUALITY,negative
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",LAPTOP#QUALITY,negative
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",LAPTOP#OPERATION_PERFORMANCE,negative
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",BATTERY#OPERATION_PERFORMANCE,positive
Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,LAPTOP#PORTABILITY,positive
Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,LAPTOP#DESIGN_FEATURES,positive
Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,LAPTOP#GENERAL,positive
The So called laptop Runs to Slow and I hate it!,LAPTOP#OPERATION_PERFORMANCE,negative
The So called laptop Runs to Slow and I hate it!,LAPTOP#GENERAL,negative
Do not  buy it!,LAPTOP#GENERAL,negative
It is the worst laptop ever,LAPTOP#GENERAL,negative
"The image is great, and the soud is excelent.",DISPLAY#QUALITY,positive
"The image is great, and the soud is excelent.",MULTIMEDIA_DEVICES#QUALITY,positive
i love ths notebook.,LAPTOP#GENERAL,positive
I love the glass touchpad.,MOUSE#DESIGN_FEATURES,positive
Easy learning curve.,LAPTOP#USABILITY,positive
Also the display is exceptional!,DISPLAY#GENERAL,positive
I have loved this since i took it out of the box.,LAPTOP#GENERAL,positive
The battery is really long.,BATTERY#OPERATION_PERFORMANCE,positive
"the features are great, the only thing it needs is better speakers.",LAPTOP#DESIGN_FEATURES,positive
"the features are great, the only thing it needs is better speakers.",MULTIMEDIA_DEVICES#GENERAL,negative
Small and light weight.,LAPTOP#DESIGN_FEATURES,positive
Speakers too small to be of any real use.,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative
Speakers too small to be of any real use.,MULTIMEDIA_DEVICES#USABILITY,negative
Keyboard good sized and wasy to use.,KEYBOARD#DESIGN_FEATURES,positive
Keyboard good sized and wasy to use.,KEYBOARD#USABILITY,positive
I like it!,LAPTOP#GENERAL,positive
Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,LAPTOP#GENERAL,positive
Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,LAPTOP#DESIGN_FEATURES,positive
Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,LAPTOP#PORTABILITY,positive
"Needless to say, not to happy with the product.",LAPTOP#GENERAL,negative
This is a great machine!,LAPTOP#GENERAL,positive
"The design is awesome, quality is unprecedented.",LAPTOP#DESIGN_FEATURES,positive
"The design is awesome, quality is unprecedented.",LAPTOP#QUALITY,positive
"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",LAPTOP#QUALITY,positive
"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",LAPTOP#DESIGN_FEATURES,positive
"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",LAPTOP#PRICE,positive
"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",LAPTOP#OPERATION_PERFORMANCE,positive
It is by far one of the greatest investments I have ever made.,LAPTOP#GENERAL,positive
"Am very glad I bought it, great netbook, low price.",LAPTOP#GENERAL,positive
"Am very glad I bought it, great netbook, low price.",LAPTOP#PRICE,positive
Very good quality and well made.,LAPTOP#QUALITY,positive
Great pick for portability and affordability.,LAPTOP#PORTABILITY,positive
Great pick for portability and affordability.,LAPTOP#PRICE,positive
The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,LAPTOP#DESIGN_FEATURES,positive
The only problem is a lack of screen resolutions!,DISPLAY#QUALITY,negative
The only problem is a lack of screen resolutions!,LAPTOP#GENERAL,positive
"If you need an affordable, entry-level laptop, this will fit the bill.",LAPTOP#PRICE,positive
"If you need an affordable, entry-level laptop, this will fit the bill.",LAPTOP#MISCELLANEOUS,positive
"I dislike the weight and size, cubersome.",LAPTOP#PORTABILITY,negative
"I dislike the weight and size, cubersome.",LAPTOP#DESIGN_FEATURES,negative
I dislike the quality and the placement of the speakers.,MULTIMEDIA_DEVICES#QUALITY,negative
I dislike the quality and the placement of the speakers.,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative
"Overall, it's ok.",LAPTOP#GENERAL,neutral
"Laptop is advertised as a 15"" but the casing looks like that of a 17"".",LAPTOP#DESIGN_FEATURES,negative
This laptop is very large and barely fits in any carrying cases.,LAPTOP#DESIGN_FEATURES,negative
This laptop is very large and barely fits in any carrying cases.,LAPTOP#PORTABILITY,negative
Peformance is good for the price.,LAPTOP#OPERATION_PERFORMANCE,positive
Peformance is good for the price.,LAPTOP#PRICE,neutral
"If you're not wanting to be mobile, this is a good laptop to sit on a desk.",LAPTOP#PORTABILITY,negative
"If you're not wanting to be mobile, this is a good laptop to sit on a desk.",LAPTOP#GENERAL,positive
Had to have this computer repaired twice in the first 5 months after purchasing it.,LAPTOP#QUALITY,negative
Not good for a person who gets online daily.,LAPTOP#MISCELLANEOUS,negative
May be better for the occasional web surfer.,LAPTOP#MISCELLANEOUS,neutral
"I just got this laptop for college, and so far I am very happy with it.",LAPTOP#GENERAL,positive
It is so much easier to use,LAPTOP#USABILITY,positive
"Good keyboard, long battery life, largest hard drive and windows 7.",KEYBOARD#GENERAL,positive
"Good keyboard, long battery life, largest hard drive and windows 7.",BATTERY#OPERATION_PERFORMANCE,positive
"Good keyboard, long battery life, largest hard drive and windows 7.",HARD_DISC#DESIGN_FEATURES,positive
"Good keyboard, long battery life, largest hard drive and windows 7.",OS#GENERAL,positive
And Toshiba is a quality supplier.,COMPANY#GENERAL,positive
I love this little one.,LAPTOP#GENERAL,positive
The keyboard has a wonderful nature feel.,KEYBOARD#QUALITY,positive
great battery life.,BATTERY#OPERATION_PERFORMANCE,positive
Keyboard is reasonable size.,KEYBOARD#DESIGN_FEATURES,positive
Small screen somewhat limiting but great for travel.,DISPLAY#DESIGN_FEATURES,negative
Small screen somewhat limiting but great for travel.,LAPTOP#PORTABILITY,positive
Charger seems large for this class of computer.,POWER_SUPPLY#DESIGN_FEATURES,negative
"Great Laptop for the price, works well with action pack games.",LAPTOP#GENERAL,positive
"Great Laptop for the price, works well with action pack games.",LAPTOP#PRICE,neutral
"Great Laptop for the price, works well with action pack games.",LAPTOP#MISCELLANEOUS,positive
"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",KEYBOARD#DESIGN_FEATURES,negative
"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",KEYBOARD#USABILITY,negative
but other then that I would give this product a 4 in hafe stars.,LAPTOP#GENERAL,positive
Good for every day computing and web browsing.,LAPTOP#MISCELLANEOUS,positive
A great computer for light home use and business use.,LAPTOP#MISCELLANEOUS,positive
Might not make the avid gamer happy but I don't really think that is what this computer is designed for.,LAPTOP#MISCELLANEOUS,neutral
"Crisp screen, great battery life, and plenty of storage.",DISPLAY#QUALITY,positive
"Crisp screen, great battery life, and plenty of storage.",BATTERY#OPERATION_PERFORMANCE,positive
"Crisp screen, great battery life, and plenty of storage.",HARD_DISC#DESIGN_FEATURES,positive
Very happy.,LAPTOP#GENERAL,positive
He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.,LAPTOP#GENERAL,positive
He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.,LAPTOP#USABILITY,positive
I would recomend this acer to parents and grandparents it can really help them in school.,LAPTOP#MISCELLANEOUS,positive
MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY.,LAPTOP#MISCELLANEOUS,negative
"IT WANT TAKE IT, IT KEEP SAYING ERROR.",LAPTOP#MISCELLANEOUS,negative
"HELP, HELP, OTHER THAN THAT GETS A GREAT LITTLE WONDER.",LAPTOP#GENERAL,positive
It's fast and has excellent battery life.,LAPTOP#OPERATION_PERFORMANCE,positive
It's fast and has excellent battery life.,BATTERY#OPERATION_PERFORMANCE,positive
The screen shows great colors.,DISPLAY#QUALITY,positive
I was surprised with the performance and quality of this HP Laptop.,LAPTOP#OPERATION_PERFORMANCE,positive
I was surprised with the performance and quality of this HP Laptop.,LAPTOP#QUALITY,positive
the speed is fine.,LAPTOP#OPERATION_PERFORMANCE,positive
"But with A WAY Bigger Screen, and IS able to connect to an HDMI.",DISPLAY#DESIGN_FEATURES,positive
"But with A WAY Bigger Screen, and IS able to connect to an HDMI.",LAPTOP#CONNECTIVITY,positive
Love it.,LAPTOP#GENERAL,positive
"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.",LAPTOP#GENERAL,positive
"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.",BATTERY#OPERATION_PERFORMANCE,positive
I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,BATTERY#OPERATION_PERFORMANCE,negative
This computer is the ideal college companion.,LAPTOP#MISCELLANEOUS,positive
It's software and speed enable it to do amazing things.,LAPTOP#OPERATION_PERFORMANCE,positive
It's software and speed enable it to do amazing things.,SOFTWARE#GENERAL,positive
I am not happy at all with the product I purchased.,LAPTOP#GENERAL,negative
"A cheaper price should not equal a ""cheap"" product.",LAPTOP#PRICE,neutral
"A cheaper price should not equal a ""cheap"" product.",LAPTOP#QUALITY,negative
It was over rated!,LAPTOP#GENERAL,negative
The Toshiba laptop was a great purchase.,LAPTOP#GENERAL,positive
"The price was very good, and the product is top quality.",LAPTOP#PRICE,positive
"The price was very good, and the product is top quality.",LAPTOP#QUALITY,positive
"The delivery was fast, and I would not hesitate to purchase this laptop again.",SHIPPING#QUALITY,positive
"The delivery was fast, and I would not hesitate to purchase this laptop again.",LAPTOP#GENERAL,positive
It has easy to use features and all the speed and power I could ask for.,LAPTOP#USABILITY,positive
It has easy to use features and all the speed and power I could ask for.,LAPTOP#OPERATION_PERFORMANCE,positive
True quality at a great price!,LAPTOP#QUALITY,positive
True quality at a great price!,LAPTOP#PRICE,positive
I am enjoying it and the quality it provides is great!,LAPTOP#GENERAL,positive
I am enjoying it and the quality it provides is great!,LAPTOP#QUALITY,positive
"Toshiba is a great brand, even though I haven't had it for a long time, I am very happy with it!",COMPANY#GENERAL,positive
"Toshiba is a great brand, even though I haven't had it for a long time, I am very happy with it!",LAPTOP#GENERAL,positive
"The screen graphics and clarity, and sharpness are great.",DISPLAY#QUALITY,positive
I've already recommended this laptop to a friend who eye'd the computer when I took it out of my bag.,LAPTOP#GENERAL,positive
I like the laptop overall.,LAPTOP#GENERAL,positive
The only thing i can say is that the touch pad doesnt work like it should all the time.,MOUSE#OPERATION_PERFORMANCE,negative
Sometimes you really have to tap the pad to get it to work,MOUSE#OPERATION_PERFORMANCE,negative
