sentence,aspect_term,begin,end,polarity
"But overall, it was good to be there.",there,31,36,positive
"But the attention sucks, the employees arenÂ´t nice people",attention,8,17,negative
"But the attention sucks, the employees arenÂ´t nice people",employees,29,38,negative
"But the food was very expensive, I was hoping they would give us even free breakfast.",food,8,12,negative
"But the rest, I recommend it.",it,26,28,positive
But the rooms were very nice and immaculate.,rooms,8,13,positive
But the sound was very loud.,sound,8,13,negative
But then it got slow and the camera stopped working.,camera,29,35,negative
But then it got slow and the camera stopped working.,it,9,11,negative
By far my favourite and easiest to access bakery that offers not just the best quality products but also the cheapest.,quality products,79,95,positive
By far my favourite and easiest to access bakery that offers not just the best quality products but also the cheapest.,bakery,42,48,positive
"Cars are the most used means of transport today, despite their costly maintenance, they are a tool that allows us to go from one place to another; and through time it has evolved making them faster and more aerodynamic",maintenance,70,81,negative
Cash a check for the application and it was charged 2 times I had problems with an account lock so it really was not a good experience,account lock,83,95,negative
Cash a check for the application and it was charged 2 times I had problems with an account lock so it really was not a good experience,application,21,32,negative
Cash a check for the application and it was charged 2 times I had problems with an account lock so it really was not a good experience,experience,124,134,negative
Clean and spacious room.,room,19,23,positive
"Days ago I bought a dell laptop and it is very good, I recommend it has a good processor and the battery lasts a long time.",dell laptop,20,31,positive
"Days ago I bought a dell laptop and it is very good, I recommend it has a good processor and the battery lasts a long time.",battery,97,104,positive
"Days ago I bought a dell laptop and it is very good, I recommend it has a good processor and the battery lasts a long time.",processor,79,88,positive
"Despite being an international company, the quality of its food and service has dropped a lot due to the high demand it has.",quality of its food and service,44,75,negative
Easy to pay for contactless and the delivery driver was more than helpful.,delivery driver,36,51,positive
Easy to pay for contactless and the delivery driver was more than helpful.,to pay,5,11,positive
Everyone in the MetroPCS store were very friendly.,Everyone in the MetroPCS store,0,30,positive
Excellent attention.,attention,10,19,positive
Excellent customer service at the time of purchasing a ticket.,customer service,10,26,positive
Excellent experience.,experience,10,20,positive
"Excellent facilities, good amenities and with good lighting for night sporting events.",facilities,10,20,positive
"Excellent facilities, good amenities and with good lighting for night sporting events.",amenities and with good lighting,27,59,positive
"Excellent in sales and mounting of tires for your vehicle, with quite nice prices and credit.",sales and mounting of tires,13,40,positive
"Excellent in sales and mounting of tires for your vehicle, with quite nice prices and credit.",credit,86,92,positive
"Excellent in sales and mounting of tires for your vehicle, with quite nice prices and credit.",prices,75,81,positive
Excellent place to spend the holidays.,place,10,15,positive
"Excellent service, very good food, the salad was incredible, the dressing was the perfect touch.",food,29,33,positive
"Excellent service, very good food, the salad was incredible, the dressing was the perfect touch.",service,10,17,positive
"Excellent service, very good food, the salad was incredible, the dressing was the perfect touch.",dressing,65,73,positive
"Excellent service, very good food, the salad was incredible, the dressing was the perfect touch.",salad,39,44,positive
"Excellent, especially the service and amenities, sometimes you get one or another inconvenience but in general, excellent service.",service,122,129,positive
Exceptionally quick boot up and ease of access.,access,40,46,positive
Exceptionally quick boot up and ease of access.,boot up,20,27,positive
Extensive range of products that are much more fairly priced than most other brands.,priced,54,60,positive
Extensive range of products that are much more fairly priced than most other brands.,range of products,10,27,positive
"First time using this online supermarket, huge range of products and offers much better prices than some competitors.",prices,88,94,positive
"First time using this online supermarket, huge range of products and offers much better prices than some competitors.",range of products,47,64,positive
"First time using this online supermarket, huge range of products and offers much better prices than some competitors.",online supermarket,22,40,positive
Food transport trucks are very important since they distribute the food according to the required demand.,Food transport trucks,0,21,positive
"Food trucks its the best idea possible, its cheap, fast, tasty and super cool, serve your food in a truck with so many colors, its a great experience.",idea,25,29,positive
"Food trucks its the best idea possible, its cheap, fast, tasty and super cool, serve your food in a truck with so many colors, its a great experience.",Food trucks,0,11,positive
"Food trucks its the best idea possible, its cheap, fast, tasty and super cool, serve your food in a truck with so many colors, its a great experience.",experience,139,149,positive
"Good application, but could improve, especially at the time of synchronization, sometimes it generates an error when downloading the songs
Star; 4",downloading,117,128,negative
"Good application, but could improve, especially at the time of synchronization, sometimes it generates an error when downloading the songs
Star; 4",time of synchronization,55,78,negative
"Good attention, but the menu did not have many options.",menu,24,28,negative
"Good attention, but the menu did not have many options.",attention,5,14,positive
"Good hotel, the attention is very bad, they do not have room service and the bathroom is extremely small.",attention,16,25,negative
"Good hotel, the attention is very bad, they do not have room service and the bathroom is extremely small.",room service,56,68,negative
"Good hotel, the attention is very bad, they do not have room service and the bathroom is extremely small.",bathroom,77,85,negative
"Good service, efficient and with the best prices on the market.",service,5,12,positive
"Good service, efficient and with the best prices on the market.",prices,42,48,positive
"Great battle system and all in all, utterly engrossing.",battle system,6,19,positive
"Great content, categories, and variety of material o choose from and nice service to the customer also.",content,6,13,positive
"Great content, categories, and variety of material o choose from and nice service to the customer also.",service to the customer,74,97,positive
"Great content, categories, and variety of material o choose from and nice service to the customer also.",categories,15,25,positive
"Great content, categories, and variety of material o choose from and nice service to the customer also.",and variety of material,27,50,positive
Great customer service and easy to contact if something does go wrong.,contact,35,42,positive
Great customer service and easy to contact if something does go wrong.,customer service,6,22,positive
Has it's best own range products and has the best delivery service.,delivery service,50,66,positive
Has it's best own range products and has the best delivery service.,own range products,14,32,positive
Has the best range of both products and promotions in tandem.,range of both products and promotions,13,50,positive
"Has the best range of frozen foods or the best price, a little bare when it comes to more fresh offerings.",fresh offerings,90,105,negative
"Has the best range of frozen foods or the best price, a little bare when it comes to more fresh offerings.",range of frozen foods,13,34,positive
"Has the best range of frozen foods or the best price, a little bare when it comes to more fresh offerings.",price,47,52,positive
He prescribed some medicines that helped me a lot.,medicines,19,28,positive
He prescribed some medicines that helped me a lot.,He,0,2,positive
He was right.,He,0,2,positive
His articulation has improved and now he sounds much clearer and his volume is louder.,articulation,4,16,positive
His articulation has improved and now he sounds much clearer and his volume is louder.,he,38,40,positive
His articulation has improved and now he sounds much clearer and his volume is louder.,sounds,41,47,positive
His articulation has improved and now he sounds much clearer and his volume is louder.,volume,69,75,positive
"How was your experieYoga is an art of meditation together with gymnastic movements that help us improve our health in all areas
the bad thing about yoga is that there are people who are not capable of doing the required movements so it is limited to a group of capable people",experieYoga,13,24,positive
"How was your experieYoga is an art of meditation together with gymnastic movements that help us improve our health in all areas
the bad thing about yoga is that there are people who are not capable of doing the required movements so it is limited to a group of capable people",yoga,148,152,negative
"Hugely expansive and offers more content than you know what to do with, fantastic soundtrack and visuals to accompany it.",soundtrack and visuals,82,104,positive
"Hugely expansive and offers more content than you know what to do with, fantastic soundtrack and visuals to accompany it.",content,33,40,positive
I HAD SOME CUPCAKES THIS MORNING AND THEY WERE VERY DELICIOUS,CUPCAKES,11,19,positive
I admit that i have a nice time with my family  .,time with my family,27,46,positive
I always buy my phones from MetroPCS because they have great customer service.,customer service,61,77,positive
I always buy my phones from MetroPCS because they have great customer service.,MetroPCS,28,36,positive
I am really disappointed by the product as the battery on the vacuum runs out after 1 minutes despite charging for hours.,product,32,39,negative
I am really disappointed by the product as the battery on the vacuum runs out after 1 minutes despite charging for hours.,battery on the vacuum,47,68,negative
"I am satisfied with the product for the price I pay, has a regular quality.",price,40,45,positive
"I am satisfied with the product for the price I pay, has a regular quality.",product,24,31,positive
I am very fond of video games and I always love the store that has new and varied games .,video games,18,29,positive
I am very fond of video games and I always love the store that has new and varied games .,store,52,57,positive
I asked for a glass of water twice which I never did receive.,asked for a glass of water twice,2,34,negative
I bought a beam painting in excellent condition.,beam painting,11,24,positive
I bought a beam painting in excellent condition.,condition,38,47,positive
I bought a book about sexual life and it helped me in mine.,book about sexual life,11,33,positive
"I bought a car at a great price, has a nice engine, but had some issue with GPS.",price,26,31,positive
"I bought a car at a great price, has a nice engine, but had some issue with GPS.",GPS,76,79,negative
"I bought a car at a great price, has a nice engine, but had some issue with GPS.",engine,44,50,positive
"I bought a cell phone with three cameras, I loved the price and the resolution of the photos",resolution of the photos,68,92,positive
"I bought a cell phone with three cameras, I loved the price and the resolution of the photos",price,54,59,positive
I bought a comic book for my children and they read it everyday and laugh on it.,comic book,11,21,positive
I bought a mobile phone yesterday and I have to admit that  i am so happy to dealing with this shop .,shop,95,99,positive
I bought a new laptop HP that has an awesome battery.,laptop HP,15,24,positive
I bought a new laptop HP that has an awesome battery.,battery,45,52,positive
"I bought a new router for my internet, has an easy configuration, but it has some bug with the stability of connexion.",stability of connexion,95,117,negative
"I bought a new router for my internet, has an easy configuration, but it has some bug with the stability of connexion.",configuration,51,64,positive
I bought a nike free 9.0 a week ago and they are too comfortable.,nike free 9.0,11,24,positive
"I bought a pair of earphones, have a very nice design, but are very noisy sound.",sound,74,79,negative
"I bought a pair of earphones, have a very nice design, but are very noisy sound.",design,47,53,positive
I bought a power supply 4 months ago and it was my best purchase.,purchase,56,64,positive
I bought a power supply 4 months ago and it was my best purchase.,power supply,11,23,positive
I bought a tablet with android 9.0 about 4 months ago.,tablet,11,17,positive
I bought a tv a few months ago and I was treated with the upmost respect.,treated,41,48,positive
"I bought a video game that I found excellent, at a very good price and very entertaining",video game,11,21,positive
"I bought a video game that I found excellent, at a very good price and very entertaining",price,61,66,positive
I bought an SSD hard drive 4 months ago and it was my best buy.,buy,59,62,positive
I bought an SSD hard drive 4 months ago and it was my best buy.,I,0,1,positive
I bought an SSD hard drive 4 months ago and it was my best buy.,SSD hard drive,12,26,positive
I bought an android 10.1 phone a week ago and it is super fast and light.,android 10.1 phone,12,30,positive
I bought an android 10.1 tablet a week ago and it is super fast and light.,it,47,49,positive
I bought an android 10.1 tablet a week ago and it is super fast and light.,android 10.1 tablet,12,31,positive
"I bought empanadas for breakfast, the filling was pavilion, they were very delicious, delicious, I loved them.",empanadas,9,18,positive
I bought one jar of honey and it was very delicious and I gave it to an expert and he confirmed it's organic.,jar of honey,13,25,positive
I bought read dead redemption 2 for my son who is 18 and he loved it.,read dead redemption 2,9,31,positive
I bought some frsh shrimp rom the fish store and it was fresh and large.,frsh shrimp,14,25,positive
I bought some salmon and scrimp pies from the bakery and they were fresh and hot.,salmon and scrimp pies,14,36,positive
I bought some sausage from the grocery and they were fresh and tasted good.,sausage,14,21,positive
I bought some sausage from the grocery and they were fresh and tasted good.,tasted,63,69,positive
I bought some shirts from the clothes shop and they were nice looking and cheap.,shirts,14,20,positive
I bought these headphones one week ago and it was working fine and suddenly the sound started to be unclear.,sound,80,85,negative
"I bought this car only 3 months ago, and the engine is failing, it does not have much power when accelerating.",car,14,17,negative
"I bought this car only 3 months ago, and the engine is failing, it does not have much power when accelerating.",power when accelerating,86,109,negative
"I bought this car only 3 months ago, and the engine is failing, it does not have much power when accelerating.",engine,45,51,negative
"I bought this cell phone a month ago, it is a good option for simple things, if you want good photos it is not a good option",photos,94,100,negative
"I bought this cell phone a month ago, it is a good option for simple things, if you want good photos it is not a good option",simple things,62,75,positive
I bought this device 2 years ago and i still love this device .,device,55,61,positive
I bought this notebook cheaply.,notebook,14,22,positive
I bought this phone 1 year ago and I have many problems with this phone .,phone,66,71,negative
I bought this phone 1 year ago and I have many problems with this phone .,phone 1,14,21,negative
I bought two loaves of big bread and they were hot and fresh and delicious that you can it the bread alone.,two loaves of big bread,9,32,positive
I called Citizen's Bank and they approved my purchase and also sent me a new card that I received a few days later.,Citizen's Bank,9,23,positive
"I came to this warehouse to look for some products to remodel my house, very well organized but the treatment of the employees is very bad, I will not buy here again.",organized,82,91,positive
"I came to this warehouse to look for some products to remodel my house, very well organized but the treatment of the employees is very bad, I will not buy here again.",treatment of the employees,100,126,negative
"I change the oil to my car and I'm failing, I don't recommend this place.",this place,62,72,negative
I definitely recommend it.,it,23,25,positive
I did not like that the pool was not clean.,pool,24,28,negative
I didn't regret buying it.,it,23,25,positive
I do not recommend it.,it,19,21,negative
I do not recommend this company to anyone.,company,24,31,negative
"I doesn`t like health center, because they treat the pacients like animals..",health center,15,28,negative
"I doesn`t like health center, because they treat the pacients like animals..",pacients,53,61,negative
I don't like it at all.,it,13,15,negative
"I don't like shopping, I have a hard time choosing what to buy and I waste a lot of time",choosing what to buy,42,62,negative
"I don't like shopping, I have a hard time choosing what to buy and I waste a lot of time",shopping,13,21,negative
I don't recommend this memory card to anyone.,memory card,23,34,negative
I don't regret buying it.,it,22,24,positive
"I downloaded the Spotify app and is great with the service stream, has a nice variety of artist, but to access so everything has to be paid for it, and I donÂ´t like too much that part.",paid for it,135,146,negative
"I downloaded the Spotify app and is great with the service stream, has a nice variety of artist, but to access so everything has to be paid for it, and I donÂ´t like too much that part.",service stream,51,65,positive
"I downloaded the Spotify app and is great with the service stream, has a nice variety of artist, but to access so everything has to be paid for it, and I donÂ´t like too much that part.",variety of artist,78,95,positive
"I downloaded the Spotify app and is great with the service stream, has a nice variety of artist, but to access so everything has to be paid for it, and I donÂ´t like too much that part.",access,104,110,negative
I enjoyed my stay there.,my stay,10,17,positive
I feel much better now.,I,0,1,positive
I feel safe in this car.,car,20,23,positive
I feel that I have more navigation speed compared to my old equipment and I can be at a considerable distance,navigation speed,24,40,positive
I finally find my foveate kind of chocolates  with a cheap price .,chocolates,34,44,positive
I finally find my foveate kind of chocolates  with a cheap price .,price,59,64,positive
I fried it with some salt and pepper and it was the most delicious thing i have ever tasted.,thing i have ever tasted,67,91,positive
I fried it with some salt and pepper and it was the most delicious thing i have ever tasted.,it,41,43,positive
I had my sperm gets out quickly after penetration so I visited the doctor and he gave me a good medicine which helped me a lot.,medicine,96,104,positive
I had my sperm gets out quickly after penetration so I visited the doctor and he gave me a good medicine which helped me a lot.,doctor,67,73,positive
I had some roasted chicken and I really enjoyed it.,roasted chicken,11,26,positive
I had to return it to the merchant and get my refund.,it,16,18,negative
I had to wait longer,wait,9,13,negative
"I hate this institution, the employees are rude, they do not have empathy for their clients and when you ask for a refund the procedures are very slow and tedious.",institution,12,23,negative
"I hate this institution, the employees are rude, they do not have empathy for their clients and when you ask for a refund the procedures are very slow and tedious.",procedures,126,136,negative
"I hate this institution, the employees are rude, they do not have empathy for their clients and when you ask for a refund the procedures are very slow and tedious.",employees,29,38,negative
"I have bought a beautiful computer and it really surprises me, it is incredible since I have been able to do many things with it",computer,26,34,positive
"I have bought a mobile phone and it has been very good for me, I love it because it works for many things",mobile phone,16,28,positive
I have really changed to the better after I visited the Cosmetic Dentist mt teeth now are equal and very white.,teeth,76,81,positive
I have really changed to the better after I visited the Cosmetic Dentist mt teeth now are equal and very white.,I,0,1,positive
I have really changed to the better after I visited the Cosmetic Dentist mt teeth now are equal and very white.,Cosmetic Dentist,56,72,positive
"I have spent a lot of time looking for fresh organic honey but it was very expensive, so i kept searching and found an online store who sells honey so i tried to give it a try.",fresh organic honey,39,58,negative
I have this phone that I bought three days ago but it does not want to work as I expected,phone,12,17,negative
I have to admit that I am so happy to dealing with this store .,dealing with this store,38,61,positive
I have to admit that I chose correctly  the best tv .,tv,49,51,positive
I have to admit that I have never eat delicious  cup cakes like that .,cup cakes,49,58,positive
I have to admit that I have never eat pan cakes like that .,pan cakes,38,47,positive
I have to say that i spent a nice time there.,time,34,38,positive
I have to say that i spent a nice time there.,there,39,44,positive
I highly recommend it for people who like thin fonts.,it,19,21,positive
"I hired an elictricist to change a breker, the man generated a short circuit and damaged the breker",the man,43,50,negative
"I hired an elictricist to change a breker, the man generated a short circuit and damaged the breker",elictricist,11,22,negative
I hired the Flooring service and it was excellent I do not have to complain very kind and trained people the result was great,people,98,104,positive
I hired the Flooring service and it was excellent I do not have to complain very kind and trained people the result was great,result,109,115,positive
I hired the Flooring service and it was excellent I do not have to complain very kind and trained people the result was great,Flooring service,12,28,positive
I insisted on gating our house to protect it so i called a specialist and he built a powerful gate.,specialist,59,69,positive
I insisted on gating our house to protect it so i called a specialist and he built a powerful gate.,gate,94,98,positive
I intended to build fences to protect my home from robbers  and the service was good.,service,68,75,positive
I just find the sound of the external speaker low.,sound of the external speaker,16,45,negative
I like going shopping a lot apart from buying things that I like I enjoy going out with my friends,going out with my friends,73,98,positive
I like going shopping a lot apart from buying things that I like I enjoy going out with my friends,going shopping,7,21,positive
I like when my phone save every coversationthat id have.,my phone,12,20,positive
I liked that it had a toilet and it was very clean.,toilet,22,28,positive
I liked that it had a toilet and it was very clean.,it,33,35,positive
I liked that it had a toilet and it was very clean.,it,13,15,positive
I liked that it had free wifi and I was able to use it while I was waiting.,wifi,25,29,positive
I liked the food.,food,12,16,positive
"I lost the keys to my vehicle and I called the insurance to send a tow truck, I was very well attended and the response was very fast, really, very grateful",attended,94,102,positive
"I lost the keys to my vehicle and I called the insurance to send a tow truck, I was very well attended and the response was very fast, really, very grateful",response,111,119,positive
"I lost the keys to my vehicle and I called the insurance to send a tow truck, I was very well attended and the response was very fast, really, very grateful",insurance,47,56,positive
"I love the pizzas in this place, I would like them to have more variety in the wine list",pizzas,11,17,positive
"I love the pizzas in this place, I would like them to have more variety in the wine list",wine list,79,88,negative
I love the quality of the images and the internet connection was simply easy and very fast.,internet connection,41,60,positive
I love the quality of the images and the internet connection was simply easy and very fast.,quality of the images,11,32,positive
I love to go for my pistachio gelato it is the favorite flavor I like to combine it with hazelnuts I love it,pistachio gelato,20,36,positive
I love to go for my pistachio gelato it is the favorite flavor I like to combine it with hazelnuts I love it,hazelnuts,89,98,positive
I love to go for my pistachio gelato it is the favorite flavor I like to combine it with hazelnuts I love it,flavor,56,62,positive
"I loved the service of the flight attendants, very attentive, polite and helpful.",service of the flight attendants,12,44,positive
I made a reservation to stay two nights and there was no availability but they were very friendly,they,74,78,positive
"I must say that it has been the best cleaning service I have hired, the workers are very professional, top quality products and a very friendly treatment",quality products,107,123,positive
"I must say that it has been the best cleaning service I have hired, the workers are very professional, top quality products and a very friendly treatment",cleaning service,37,53,positive
"I must say that it has been the best cleaning service I have hired, the workers are very professional, top quality products and a very friendly treatment",workers,72,79,positive
"I must say that it has been the best cleaning service I have hired, the workers are very professional, top quality products and a very friendly treatment",treatment,144,153,positive
I ordered  a couple of T-shirts online and they are delivered after only one day .,T-shirts,23,31,positive
I ordered some red sunglasses and they sent me some green,they,34,38,negative
I purchased some brief boxers online and they were comfortable,brief boxers,17,29,positive
"I rate it with 10 stars, the attention is top quality, the attention of the cashiers is wonderful",attention,29,38,positive
"I rate it with 10 stars, the attention is top quality, the attention of the cashiers is wonderful",attention of the cashiers,59,84,positive
"I really like sex shops, but it is a taboo theme, Id feel awkard everytime i left the shop, they see me like a pervert.",theme,43,48,negative
"I really like sex shops, but it is a taboo theme, Id feel awkard everytime i left the shop, they see me like a pervert.",everytime i left the shop,65,90,negative
I really like that my subscription allows me to use the service on different platforms.,subscription allows me to use the service on different platforms,22,86,positive
I really like your paintings.,paintings,19,28,positive
I really recommend to people to do this kind of change on their homes and believe a little bit more in this some kind of positive energy so call it feng shui.,this kind of change on their homes,35,69,positive
I really recommend to people to do this kind of change on their homes and believe a little bit more in this some kind of positive energy so call it feng shui.,feng shui,148,157,positive
I really recommend to people to do this kind of change on their homes and believe a little bit more in this some kind of positive energy so call it feng shui.,energy,130,136,positive
"I recently bought a dell brand laptop, I found it cheap and it is very good.",cheap,50,55,positive
"I recently bought a dell brand laptop, I found it cheap and it is very good.",dell brand laptop,20,37,positive
I recommend it as one of your best purchases.,purchases,35,44,positive
I recommend it.,it,12,14,positive
I recommend that you never buy this book.,this book,31,40,negative
I recommend to people the like this stuff to go there and see and buy some great books anyone will thank me.,books,81,86,positive
I recommend you buy from this brand.,brand,30,35,positive
I recommend you buy here.,buy here,16,24,positive
I regret going.,going,9,14,negative
I searched a lot until i find this excellent clinic .,clinic,45,51,positive
I sincerely congratulate you for the excellent service.,service,47,54,positive
"I stayed at this hotel for its excellent location and ocean view, I liked the attention and good service.",hotel,17,22,positive
"I stayed at this hotel for its excellent location and ocean view, I liked the attention and good service.",attention,78,87,positive
"I stayed at this hotel for its excellent location and ocean view, I liked the attention and good service.",ocean view,54,64,positive
"I stayed at this hotel for its excellent location and ocean view, I liked the attention and good service.",service,97,104,positive
"I stayed at this hotel for its excellent location and ocean view, I liked the attention and good service.",location,41,49,positive
I visited the optometrist and he gave me good refreshing eye drops that helped me and the pain's gone.,optometrist,14,25,positive
I visited the optometrist and he gave me good refreshing eye drops that helped me and the pain's gone.,eye drops,57,66,positive
I visited the restaurant and ordered cheese burger and it was very delicious.,cheese burger,37,50,positive
I visited the sex therapist and he gave me some advises and medications to help me.,sex therapist,14,27,positive
I visited the sex therapist and he gave me some advises and medications to help me.,advises and medications,48,71,positive
I waited  for a long  time for my order and the service was so slow  and bad .,service,48,55,negative
I waited  for a long  time for my order and the service was so slow  and bad .,order,34,39,negative
I waited too long till he arrive .,waited,2,8,negative
"I wanted to withdraw my money and they put a lot of excuses on me, I don't recommend it at all.",it,85,87,negative
"I was offered AT&T service in my flat, with a TV package plus Internet included and a free month, everything turned out badly, they charged me for the free month, and the Internet is not continuous, it crashes, I am not satisfied with this service.",this service,235,247,negative
"I was offered AT&T service in my flat, with a TV package plus Internet included and a free month, everything turned out badly, they charged me for the free month, and the Internet is not continuous, it crashes, I am not satisfied with this service.",AT&T service,14,26,negative
"I was offered AT&T service in my flat, with a TV package plus Internet included and a free month, everything turned out badly, they charged me for the free month, and the Internet is not continuous, it crashes, I am not satisfied with this service.",everything,98,108,negative
"I was offered AT&T service in my flat, with a TV package plus Internet included and a free month, everything turned out badly, they charged me for the free month, and the Internet is not continuous, it crashes, I am not satisfied with this service.",Internet,171,179,negative
I was really disappointed in myself for many years and fell into depression.,myself,29,35,negative
I was really impressed by their hygiene standards in the face of the pandemic.,hygiene standards,32,49,positive
"I was recently going to a financial advisor, in order to have better management of my financial capital, because I had many debts and despite having a good income, the money does not tend to last me.",income,156,162,positive
"I was recently going to a financial advisor, in order to have better management of my financial capital, because I had many debts and despite having a good income, the money does not tend to last me.",money,168,173,negative
"I was recently traveling, I stayed in a very elegant hotel, excellent services, I recommend this accommodation",accommodation,97,110,positive
"I was recently traveling, I stayed in a very elegant hotel, excellent services, I recommend this accommodation",services,70,78,positive
"I was recently traveling, I stayed in a very elegant hotel, excellent services, I recommend this accommodation",hotel,53,58,positive
I was suffering from my tooth ... but Doctor was very clever and was able to treat the tooth infection .,Doctor,38,44,positive
I was suffering from my tooth ... but Doctor was very clever and was able to treat the tooth infection .,my tooth,21,29,negative
I was very sick last week and decided to go to the hospital but i did not find  the doctor who should examine me  .,doctor,84,90,negative
I wasn't used to wash my teeth so they begin to smell badly and i felt much pain.,teeth,25,30,negative
I wasn't used to wash my teeth so they begin to smell badly and i felt much pain.,smell,48,53,negative
"I went for a friend's bachelor party, the service was bad, the food was cold, the music was old fashioned.",service,42,49,negative
"I went for a friend's bachelor party, the service was bad, the food was cold, the music was old fashioned.",food,63,67,negative
"I went for a friend's bachelor party, the service was bad, the food was cold, the music was old fashioned.",music,82,87,negative
"I went to a beverage store, asked for a pack of beers and they took a long time to dispatch me and the cost was very high",cost,103,107,negative
"I went to a beverage store, asked for a pack of beers and they took a long time to dispatch me and the cost was very high",beverage store,12,26,negative
"I went to an appointment at this restaurant, I liked the food and the quick attention.",attention,76,85,positive
"I went to an appointment at this restaurant, I liked the food and the quick attention.",food,57,61,positive
"I went to the Verizon Wireless operator to complain about a bill that I was charged twice, the operator kept me waiting for almost an hour, he told me that I had to wait at least a month to resolve the problem, he was also disrespectful, I would not recommend this company.",this company,260,272,negative
"I went to the Verizon Wireless operator to complain about a bill that I was charged twice, the operator kept me waiting for almost an hour, he told me that I had to wait at least a month to resolve the problem, he was also disrespectful, I would not recommend this company.",operator,95,103,negative
"I went to the Verizon Wireless operator to complain about a bill that I was charged twice, the operator kept me waiting for almost an hour, he told me that I had to wait at least a month to resolve the problem, he was also disrespectful, I would not recommend this company.",Verizon Wireless operator,14,39,negative
"I went to the health lab for a blood test, wow I was amazed the service was fast, excellent, the customer service was wonderful, I would highly recommend to anyone.",customer service,97,113,positive
"I went to the health lab for a blood test, wow I was amazed the service was fast, excellent, the customer service was wonderful, I would highly recommend to anyone.",service,64,71,positive
"I went to the health lab for a blood test, wow I was amazed the service was fast, excellent, the customer service was wonderful, I would highly recommend to anyone.",health lab,14,24,positive
"I went to the insurer to insure my vehicle, they gave me excellent attention and the service is cheap",attention,67,76,positive
"I went to the insurer to insure my vehicle, they gave me excellent attention and the service is cheap",service,85,92,positive
"I went to the insurer to insure my vehicle, they gave me excellent attention and the service is cheap",insurer,14,21,positive
"I went to the myth brewery, their beers are artisanal and very good, I tried one of passion fruit that I loved, I hope to return soon",beers,34,39,positive
"I went to the myth brewery, their beers are artisanal and very good, I tried one of passion fruit that I loved, I hope to return soon",myth brewery,14,26,positive
"I went to the myth brewery, their beers are artisanal and very good, I tried one of passion fruit that I loved, I hope to return soon",one of passion fruit,77,97,positive
"I went to the restaurant to eat some delicious donuts, I was amazed, the best donuts in the world, I recommend 100% because the flavor is perfect",donuts,47,53,positive
"I went to the restaurant to eat some delicious donuts, I was amazed, the best donuts in the world, I recommend 100% because the flavor is perfect",donuts,78,84,positive
"I went to the restaurant to eat some delicious donuts, I was amazed, the best donuts in the world, I recommend 100% because the flavor is perfect",flavor,128,134,positive
"I went to the restaurant to eat some delicious donuts, I was amazed, the best donuts in the world, I recommend 100% because the flavor is perfect",restaurant,14,24,positive
"I went to this clinic to be assisted with a pain that had been torturing me for days, incredible treatment to patients by the health staff, super efficient, friendly and very caring with patients, very affordable prices.",clinic,15,21,positive
"I went to this clinic to be assisted with a pain that had been torturing me for days, incredible treatment to patients by the health staff, super efficient, friendly and very caring with patients, very affordable prices.",prices,213,219,positive
"I went to this clinic to be assisted with a pain that had been torturing me for days, incredible treatment to patients by the health staff, super efficient, friendly and very caring with patients, very affordable prices.",treatment,97,106,positive
"I went to this clinic to be assisted with a pain that had been torturing me for days, incredible treatment to patients by the health staff, super efficient, friendly and very caring with patients, very affordable prices.",pain,44,48,negative
