sentence,aspect_terms,polarity
"How was your experieYoga is an art of meditation together with gymnastic movements that help us improve our health in all areas
the bad thing about yoga is that there are people who are not capable of doing the required movements so it is limited to a group of capable people","['experieYoga', 'yoga']","['positive', 'negative']"
"Hugely expansive and offers more content than you know what to do with, fantastic soundtrack and visuals to accompany it.","['soundtrack and visuals', 'content']","['positive', 'positive']"
I HAD SOME CUPCAKES THIS MORNING AND THEY WERE VERY DELICIOUS,['CUPCAKES'],['positive']
I admit that i have a nice time with my family  .,['time with my family'],['positive']
I always buy my phones from MetroPCS because they have great customer service.,"['customer service', 'MetroPCS']","['positive', 'positive']"
I am really disappointed by the product as the battery on the vacuum runs out after 1 minutes despite charging for hours.,"['product', 'battery on the vacuum']","['negative', 'negative']"
"I am satisfied with the product for the price I pay, has a regular quality.","['price', 'product']","['positive', 'positive']"
I am very fond of video games and I always love the store that has new and varied games .,"['video games', 'store']","['positive', 'positive']"
I asked for a glass of water twice which I never did receive.,['asked for a glass of water twice'],['negative']
I bought a beam painting in excellent condition.,"['beam painting', 'condition']","['positive', 'positive']"
I bought a book about sexual life and it helped me in mine.,['book about sexual life'],['positive']
"I bought a car at a great price, has a nice engine, but had some issue with GPS.","['price', 'GPS', 'engine']","['positive', 'negative', 'positive']"
"I bought a cell phone with three cameras, I loved the price and the resolution of the photos","['resolution of the photos', 'price']","['positive', 'positive']"
I bought a comic book for my children and they read it everyday and laugh on it.,['comic book'],['positive']
I bought a mobile phone yesterday and I have to admit that  i am so happy to dealing with this shop .,['shop'],['positive']
I bought a new laptop HP that has an awesome battery.,"['laptop HP', 'battery']","['positive', 'positive']"
"I bought a new router for my internet, has an easy configuration, but it has some bug with the stability of connexion.","['stability of connexion', 'configuration']","['negative', 'positive']"
I bought a nike free 9.0 a week ago and they are too comfortable.,['nike free 9.0'],['positive']
"I bought a pair of earphones, have a very nice design, but are very noisy sound.","['sound', 'design']","['negative', 'positive']"
I bought a power supply 4 months ago and it was my best purchase.,"['purchase', 'power supply']","['positive', 'positive']"
I bought a tablet with android 9.0 about 4 months ago.,['tablet'],['positive']
I bought a tv a few months ago and I was treated with the upmost respect.,['treated'],['positive']
"I bought a video game that I found excellent, at a very good price and very entertaining","['video game', 'price']","['positive', 'positive']"
I bought an SSD hard drive 4 months ago and it was my best buy.,"['buy', 'I', 'SSD hard drive']","['positive', 'positive', 'positive']"
I bought an android 10.1 phone a week ago and it is super fast and light.,['android 10.1 phone'],['positive']
I bought an android 10.1 tablet a week ago and it is super fast and light.,"['it', 'android 10.1 tablet']","['positive', 'positive']"
"I bought empanadas for breakfast, the filling was pavilion, they were very delicious, delicious, I loved them.",['empanadas'],['positive']
I bought one jar of honey and it was very delicious and I gave it to an expert and he confirmed it's organic.,['jar of honey'],['positive']
I bought read dead redemption 2 for my son who is 18 and he loved it.,['read dead redemption 2'],['positive']
I bought some frsh shrimp rom the fish store and it was fresh and large.,['frsh shrimp'],['positive']
I bought some salmon and scrimp pies from the bakery and they were fresh and hot.,['salmon and scrimp pies'],['positive']
I bought some sausage from the grocery and they were fresh and tasted good.,"['sausage', 'tasted']","['positive', 'positive']"
I bought some shirts from the clothes shop and they were nice looking and cheap.,['shirts'],['positive']
I bought these headphones one week ago and it was working fine and suddenly the sound started to be unclear.,['sound'],['negative']
"I bought this car only 3 months ago, and the engine is failing, it does not have much power when accelerating.","['car', 'power when accelerating', 'engine']","['negative', 'negative', 'negative']"
"I bought this cell phone a month ago, it is a good option for simple things, if you want good photos it is not a good option","['photos', 'simple things']","['negative', 'positive']"
I bought this device 2 years ago and i still love this device .,['device'],['positive']
I bought this notebook cheaply.,['notebook'],['positive']
I bought this phone 1 year ago and I have many problems with this phone .,"['phone', 'phone 1']","['negative', 'negative']"
I bought two loaves of big bread and they were hot and fresh and delicious that you can it the bread alone.,['two loaves of big bread'],['positive']
I called Citizen's Bank and they approved my purchase and also sent me a new card that I received a few days later.,"[""Citizen's Bank""]",['positive']
"I came to this warehouse to look for some products to remodel my house, very well organized but the treatment of the employees is very bad, I will not buy here again.","['organized', 'treatment of the employees']","['positive', 'negative']"
"I change the oil to my car and I'm failing, I don't recommend this place.",['this place'],['negative']
I definitely recommend it.,['it'],['positive']
I did not like that the pool was not clean.,['pool'],['negative']
I didn't regret buying it.,['it'],['positive']
I do not recommend it.,['it'],['negative']
I do not recommend this company to anyone.,['company'],['negative']
"I doesn`t like health center, because they treat the pacients like animals..","['health center', 'pacients']","['negative', 'negative']"
I don't like it at all.,['it'],['negative']
"I don't like shopping, I have a hard time choosing what to buy and I waste a lot of time","['choosing what to buy', 'shopping']","['negative', 'negative']"
I don't recommend this memory card to anyone.,['memory card'],['negative']
I don't regret buying it.,['it'],['positive']
"I downloaded the Spotify app and is great with the service stream, has a nice variety of artist, but to access so everything has to be paid for it, and I donÂ´t like too much that part.","['paid for it', 'service stream', 'variety of artist', 'access']","['negative', 'positive', 'positive', 'negative']"
I enjoyed my stay there.,['my stay'],['positive']
I feel much better now.,['I'],['positive']
I feel safe in this car.,['car'],['positive']
I feel that I have more navigation speed compared to my old equipment and I can be at a considerable distance,['navigation speed'],['positive']
I finally find my foveate kind of chocolates  with a cheap price .,"['chocolates', 'price']","['positive', 'positive']"
I fried it with some salt and pepper and it was the most delicious thing i have ever tasted.,"['thing i have ever tasted', 'it']","['positive', 'positive']"
I had my sperm gets out quickly after penetration so I visited the doctor and he gave me a good medicine which helped me a lot.,"['medicine', 'doctor']","['positive', 'positive']"
I had some roasted chicken and I really enjoyed it.,['roasted chicken'],['positive']
I had to return it to the merchant and get my refund.,['it'],['negative']
I had to wait longer,['wait'],['negative']
"I hate this institution, the employees are rude, they do not have empathy for their clients and when you ask for a refund the procedures are very slow and tedious.","['institution', 'procedures', 'employees']","['negative', 'negative', 'negative']"
"I have bought a beautiful computer and it really surprises me, it is incredible since I have been able to do many things with it",['computer'],['positive']
"I have bought a mobile phone and it has been very good for me, I love it because it works for many things",['mobile phone'],['positive']
I have really changed to the better after I visited the Cosmetic Dentist mt teeth now are equal and very white.,"['teeth', 'I', 'Cosmetic Dentist']","['positive', 'positive', 'positive']"
"I have spent a lot of time looking for fresh organic honey but it was very expensive, so i kept searching and found an online store who sells honey so i tried to give it a try.",['fresh organic honey'],['negative']
I have this phone that I bought three days ago but it does not want to work as I expected,['phone'],['negative']
I have to admit that I am so happy to dealing with this store .,['dealing with this store'],['positive']
I have to admit that I chose correctly  the best tv .,['tv'],['positive']
I have to admit that I have never eat delicious  cup cakes like that .,['cup cakes'],['positive']
I have to admit that I have never eat pan cakes like that .,['pan cakes'],['positive']
I have to say that i spent a nice time there.,"['time', 'there']","['positive', 'positive']"
I highly recommend it for people who like thin fonts.,['it'],['positive']
"I hired an elictricist to change a breker, the man generated a short circuit and damaged the breker","['the man', 'elictricist']","['negative', 'negative']"
I hired the Flooring service and it was excellent I do not have to complain very kind and trained people the result was great,"['people', 'result', 'Flooring service']","['positive', 'positive', 'positive']"
I insisted on gating our house to protect it so i called a specialist and he built a powerful gate.,"['specialist', 'gate']","['positive', 'positive']"
I intended to build fences to protect my home from robbers  and the service was good.,['service'],['positive']
I just find the sound of the external speaker low.,['sound of the external speaker'],['negative']
I like going shopping a lot apart from buying things that I like I enjoy going out with my friends,"['going out with my friends', 'going shopping']","['positive', 'positive']"
I like when my phone save every coversationthat id have.,['my phone'],['positive']
I liked that it had a toilet and it was very clean.,"['toilet', 'it', 'it']","['positive', 'positive', 'positive']"
I liked that it had free wifi and I was able to use it while I was waiting.,['wifi'],['positive']
I liked the food.,['food'],['positive']
"I lost the keys to my vehicle and I called the insurance to send a tow truck, I was very well attended and the response was very fast, really, very grateful","['attended', 'response', 'insurance']","['positive', 'positive', 'positive']"
"I love the pizzas in this place, I would like them to have more variety in the wine list","['pizzas', 'wine list']","['positive', 'negative']"
I love the quality of the images and the internet connection was simply easy and very fast.,"['internet connection', 'quality of the images']","['positive', 'positive']"
I love to go for my pistachio gelato it is the favorite flavor I like to combine it with hazelnuts I love it,"['pistachio gelato', 'hazelnuts', 'flavor']","['positive', 'positive', 'positive']"
"I loved the service of the flight attendants, very attentive, polite and helpful.",['service of the flight attendants'],['positive']
I made a reservation to stay two nights and there was no availability but they were very friendly,['they'],['positive']
"I must say that it has been the best cleaning service I have hired, the workers are very professional, top quality products and a very friendly treatment","['quality products', 'cleaning service', 'workers', 'treatment']","['positive', 'positive', 'positive', 'positive']"
I ordered  a couple of T-shirts online and they are delivered after only one day .,['T-shirts'],['positive']
I ordered some red sunglasses and they sent me some green,['they'],['negative']
I purchased some brief boxers online and they were comfortable,['brief boxers'],['positive']
"I rate it with 10 stars, the attention is top quality, the attention of the cashiers is wonderful","['attention', 'attention of the cashiers']","['positive', 'positive']"
"I really like sex shops, but it is a taboo theme, Id feel awkard everytime i left the shop, they see me like a pervert.","['theme', 'everytime i left the shop']","['negative', 'negative']"
I really like that my subscription allows me to use the service on different platforms.,['subscription allows me to use the service on different platforms'],['positive']
I really like your paintings.,['paintings'],['positive']
I really recommend to people to do this kind of change on their homes and believe a little bit more in this some kind of positive energy so call it feng shui.,"['this kind of change on their homes', 'feng shui', 'energy']","['positive', 'positive', 'positive']"
"I recently bought a dell brand laptop, I found it cheap and it is very good.","['cheap', 'dell brand laptop']","['positive', 'positive']"
I recommend it as one of your best purchases.,['purchases'],['positive']
I recommend it.,['it'],['positive']
I recommend that you never buy this book.,['this book'],['negative']
I recommend to people the like this stuff to go there and see and buy some great books anyone will thank me.,['books'],['positive']
I recommend you buy from this brand.,['brand'],['positive']
I recommend you buy here.,['buy here'],['positive']
I regret going.,['going'],['negative']
I searched a lot until i find this excellent clinic .,['clinic'],['positive']
I sincerely congratulate you for the excellent service.,['service'],['positive']
"I stayed at this hotel for its excellent location and ocean view, I liked the attention and good service.","['hotel', 'attention', 'ocean view', 'service', 'location']","['positive', 'positive', 'positive', 'positive', 'positive']"
I visited the optometrist and he gave me good refreshing eye drops that helped me and the pain's gone.,"['optometrist', 'eye drops']","['positive', 'positive']"
I visited the restaurant and ordered cheese burger and it was very delicious.,['cheese burger'],['positive']
I visited the sex therapist and he gave me some advises and medications to help me.,"['sex therapist', 'advises and medications']","['positive', 'positive']"
I waited  for a long  time for my order and the service was so slow  and bad .,"['service', 'order']","['negative', 'negative']"
I waited too long till he arrive .,['waited'],['negative']
"I wanted to withdraw my money and they put a lot of excuses on me, I don't recommend it at all.",['it'],['negative']
"I was offered AT&T service in my flat, with a TV package plus Internet included and a free month, everything turned out badly, they charged me for the free month, and the Internet is not continuous, it crashes, I am not satisfied with this service.","['this service', 'AT&T service', 'everything', 'Internet']","['negative', 'negative', 'negative', 'negative']"
I was really disappointed in myself for many years and fell into depression.,['myself'],['negative']
I was really impressed by their hygiene standards in the face of the pandemic.,['hygiene standards'],['positive']
"I was recently going to a financial advisor, in order to have better management of my financial capital, because I had many debts and despite having a good income, the money does not tend to last me.","['income', 'money']","['positive', 'negative']"
"I was recently traveling, I stayed in a very elegant hotel, excellent services, I recommend this accommodation","['accommodation', 'services', 'hotel']","['positive', 'positive', 'positive']"
I was suffering from my tooth ... but Doctor was very clever and was able to treat the tooth infection .,"['Doctor', 'my tooth']","['positive', 'negative']"
I was very sick last week and decided to go to the hospital but i did not find  the doctor who should examine me  .,['doctor'],['negative']
I wasn't used to wash my teeth so they begin to smell badly and i felt much pain.,"['teeth', 'smell']","['negative', 'negative']"
"I went for a friend's bachelor party, the service was bad, the food was cold, the music was old fashioned.","['service', 'food', 'music']","['negative', 'negative', 'negative']"
"I went to a beverage store, asked for a pack of beers and they took a long time to dispatch me and the cost was very high","['cost', 'beverage store']","['negative', 'negative']"
"I went to an appointment at this restaurant, I liked the food and the quick attention.","['attention', 'food']","['positive', 'positive']"
"I went to the Verizon Wireless operator to complain about a bill that I was charged twice, the operator kept me waiting for almost an hour, he told me that I had to wait at least a month to resolve the problem, he was also disrespectful, I would not recommend this company.","['this company', 'operator', 'Verizon Wireless operator']","['negative', 'negative', 'negative']"
"I went to the health lab for a blood test, wow I was amazed the service was fast, excellent, the customer service was wonderful, I would highly recommend to anyone.","['customer service', 'service', 'health lab']","['positive', 'positive', 'positive']"
"I went to the insurer to insure my vehicle, they gave me excellent attention and the service is cheap","['attention', 'service', 'insurer']","['positive', 'positive', 'positive']"
"I went to the myth brewery, their beers are artisanal and very good, I tried one of passion fruit that I loved, I hope to return soon","['beers', 'myth brewery', 'one of passion fruit']","['positive', 'positive', 'positive']"
"I went to the restaurant to eat some delicious donuts, I was amazed, the best donuts in the world, I recommend 100% because the flavor is perfect","['donuts', 'donuts', 'flavor', 'restaurant']","['positive', 'positive', 'positive', 'positive']"
"I went to this clinic to be assisted with a pain that had been torturing me for days, incredible treatment to patients by the health staff, super efficient, friendly and very caring with patients, very affordable prices.","['clinic', 'prices', 'treatment', 'pain', 'health staff']","['positive', 'positive', 'positive', 'negative', 'positive']"
"I went to this establishment because it was the most convenient but the treatment they gave me was terrible, my car was not clean and with an unpleasant smell, I do not recommend this place to anyone!","['smell', 'treatment', 'car', 'this place']","['negative', 'negative', 'negative', 'negative']"
"I went with my friends to the cinema to see a new film, they said it was good, I regret having gone, the film had no suspense, no horror, I wouldn't recommend it to anyone.",['film'],['negative']
I will definitely be visiting this place again.,['place'],['positive']
I will recommend it to all people That I Know and donÂ´t taste yet like me until that day.,['it'],['positive']
"I wish to have a new phone, but my old phone its still good, but when I SEE NEW PHONES, thereÂ´s not enought to change mine, because they have things that another one doesn{t have.","['NEW PHONES', 'my old phone']","['negative', 'positive']"
I would advise to stay well away from this product.,['product'],['negative']
I would highly recommend it.,['it'],['positive']
I would highly recommended it.,['it'],['positive']
"I would like to see financial educations in mid and high school, thath might be very helpful",['financial educations'],['positive']
I'm very happy.,['I'],['positive']
I've really enjoyed my stay.,['my stay.'],['positive']
If what you are looking for is a good book and also people who treat you well when selling it to you.,"['people', 'book']","['positive', 'positive']"
If you are in a hurry this is a good place.,['place'],['positive']
"If you want to feel safe without having your own vehicle, I recommend it.",['it'],['positive']
In just three months I have seen remarkable results.,['results'],['positive']
"In spite of everything, I think it was a good purchase, considering the price I paid for it.",['purchase'],['positive']
In terms of gameplay functionality it can seemingly play anything to a high standard.,['gameplay functionality'],['positive']
"In the long term, investments carry fewer risks, although in the short term they carry more benefits",['investments'],['positive']
Issues with it's delivery service and timings yet still easy to contact and sort out any problems that I have.,['to contact'],['positive']
It comes with great camera and 6gb ram and a powerful processor.,"['processor', 'It', 'camera']","['positive', 'positive', 'positive']"
It does not have a good reception.,['reception'],['negative']
It does not recognize many of today's phones and the loading time is very long,['loading time'],['negative']
"It fulfills the objective of applying a good daily administrative method from our thinking, in knowing how to control and avoid losses and control the anxiety and at the same time gradually increase income under statistical measures of entry and exit flow.","['It', 'administrative method']","['positive', 'positive']"
"It goes straight to the point, kind, it takes you to see your life in a clearer and different perspective, it awakens you what you really need to realize in the problem.",['It'],['positive']
It had a beautiful shape.,['shape'],['positive']
It has a beautiful shape and color.,"['It', 'shape and color']","['positive', 'positive']"
It has a function that improves image quality in dark scenes.,['function'],['positive']
"It has a good camera, if you don't have a lot of budget this is a good choice.","['camera', 'choice']","['positive', 'positive']"
It has a high processing speed.,"['processing speed', 'It']","['positive', 'positive']"
It has a lot of information.,['information'],['positive']
It has a very beautiful appearance.,['appearance'],['positive']
It has adjustable RGB and a lot of shortcuts to make your work easier.,"['It', 'adjustable RGB', 'lot of shortcuts']","['positive', 'positive', 'positive']"
"It has an exceptionally simple to understand and easy to use system, the Android OS is reliable and never causes me any issues.","['system', 'Android OS']","['positive', 'positive']"
"It has been the best I have bought lately, the full hard battery, and it is super fast and ultra thin","['battery', 'thin']","['positive', 'positive']"
It has many branches in the city which is very good and the customer service is excellent.,"['customer service', 'branches in the city']","['positive', 'positive']"
It has really impressed me a lot over the previous model.,['It'],['positive']
It has the best color in the picture.,['best color'],['positive']
It has tremendous ease of access and really does a good job of housing all the resources that I need.,"['ease of access', 'job', 'housing all the resources']","['positive', 'positive', 'positive']"
It is a genre that helps to relax and de-stress,['genre'],['positive']
It is a very fun task between father and son that strengthens the bonds,['task'],['positive']
It is cheap to sell.,['sell'],['positive']
It is difficult to find a good pediatrician  ....,['to find a good pediatrician'],['negative']
It is expensive.,['It'],['negative']
"It is good because it helps us take care of the coronavirus, but it is uncomfortable and repellent","['it', 'It']","['negative', 'positive']"
It is located in downtown and you can feel safe there because clinic is very clean .,"['there', 'clinic']","['positive', 'positive']"
It is more like a boring novel than a comedy story.,"['novel', 'It']","['negative', 'negative']"
It is not worth buying.,['It'],['negative']
It is not worth dedicating more lines to this product.,['this product'],['negative']
It is simply awesome.,['It'],['positive']
"It is the largest hamburger chain in the world, but its service has declined lately, long lines, synthetic meat and always the same hamburgers, it must improve
Stars: 2","['meat', 'lines', 'hamburgers', 'service']","['negative', 'negative', 'negative', 'negative']"
It is very great.,['It'],['positive']
It is very incomprehensible.,['It'],['negative']
It loaded very quickly and the games were quick to install.,"['games', 'loaded']","['positive', 'positive']"
It measures the pulse rate and blood pressure in a fast and very simple way.,"['It', 'way']","['positive', 'positive']"
It was delicious and i would 100% recommend it to anyone who likes their curries.,"['It', 'it']","['positive', 'positive']"
It was horrible!,['It'],['negative']
It was the worse time we have ever had at Chili's.,"[""Chili's"", 'time']","['negative', 'negative']"
It wore out very quickly.I recommend you do not buy this brand.,['brand'],['negative']
It's a good value for money.,['value for money'],['positive']
It's a service that I have come to rely on in the current pandemic climate.,['service'],['positive']
It's just what my son needed.,['It'],['positive']
It's the easiest way to pay for goods from general marketplace sites but also auction ones.,"['It', 'way to pay']","['positive', 'positive']"
Its shape is fancy.,['shape'],['positive']
Its subject is scary.,['Its subject'],['negative']
Last week went to a bookstore is call it anonymous and has a great collection of mystery books that I like so much.,"['bookstore', 'collection of mystery books']","['positive', 'positive']"
Like more ram but less internal memory.,"['memory', 'ram']","['negative', 'positive']"
Long waiting time.,['waiting time'],['negative']
"Lousy service, the reservation I made 2 days before was not validated, I had to queue to buy the ticket, and I was late for my meeting.","['reservation', 'service']","['negative', 'negative']"
Love the selection and the service was awesome!,"['selection', 'service']","['positive', 'positive']"
My best buy,['buy'],['positive']
"My computer is one of the most advanced, it has very good features and allows me to do higher quality work","['features', 'computer', 'work']","['positive', 'positive', 'positive']"
"My computer is working perfectly, everything is fine, I navigate faster and enter each of the pages more quickly, excellent","['everything', 'enter', 'navigate', 'My computer']","['positive', 'positive', 'positive', 'positive']"
My experience was great.,['My experience'],['positive']
My eyes began to hurt me strongly because i usually set behind the computer for more than 12 hour a day.,['eyes'],['negative']
My face style has become attractive by wearing these sunglasses.,"['face style', 'sunglasses']","['positive', 'positive']"
My father enjoyed them and was very happy with them.,"['them', 'them']","['positive', 'positive']"
My father's  birthday was a week ago and i wanted to bring him something to eat but no cakes.,['cakes'],['negative']
My kids used to make disgusting thins so I visited the doctor and he gave me some advises and everything goes fine since then.,"['thins', 'everything', 'doctor']","['negative', 'positive', 'positive']"
My new console arrived today via the delivery man.,['new console'],['positive']
"My smartphone does not work as it should, when I go to enter an app it does not leave me or it gets into another that I have not selected","['smartphone', 'My']","['negative', 'negative']"
Navigation through the menu is very simple and easy to use.,['Navigation through the menu'],['positive']
Needed to purchase some gifts and their range and easy to search website made it a breeze.,"['range', 'website']","['positive', 'positive']"
Never buy such a brand.,['brand'],['negative']
Never had any kind of connection or reliability issues when using it.,['it'],['positive']
Nice phone that features smoothness and a nice camera except that the only drawback is the battery,"['features', 'battery', 'camera']","['positive', 'negative', 'positive']"
"Nice place with a good location and the food is very delicious, they have a very responsible staff.","['staff', 'place', 'location', 'food']","['positive', 'positive', 'positive', 'positive']"
Now he is talking a lot more because he has raised his self-esteem.,['self-esteem'],['positive']
One worker at the store was so friendly he even put it into my car for me.,['One worker at the store'],['positive']
Only the cover of the book is beautiful.,['cover of the book'],['positive']
Only the view was not what we had reserved.,['the view'],['negative']
Our decorist and designer had beautiful design ideas ad was prompt to act on any preferences I suggested.,"['decorist and designer', 'design ideas']","['positive', 'positive']"
"Positive side: It is light, the screen has good definition.","['screen', 'It']","['positive', 'positive']"
Pretty good and very well made!,['made'],['positive']
"Pretty good, howeer, it smells pretty bad and the dorctors are not that good","['dorctors', 'smells']","['negative', 'negative']"
Probably the most secure online payment service that offers tremendous checks and balances to remain that way.,"['checks and balances', 'online payment service']","['positive', 'positive']"
"Restaurant with a very good reputation, the pizzas, I could say they are the best, I recommend them 100%","['reputation', 'the pizzas', 'Restaurant']","['positive', 'positive', 'positive']"
She cleans everything!,['She'],['positive']
Simple verification checks make it trusted but also easy to navigate.,"['it', 'Simple verification checks', 'to navigate']","['positive', 'positive', 'positive']"
"Slow service, unresponsive.",['service'],['negative']
"So I order some macaron with cheese with spaghetti, and I was trill about it.",['macaron with cheese with spaghetti'],['positive']
So even though the advisor doesnÂ´t have the best customer service.,"['advisor', 'customer service']","['negative', 'negative']"
Sometimes that back and home buttons don't seem to get you out of every app but that is a small gripe.,['back and home buttons'],['negative']
Spacious rooms and cleaning staff did a great job.,"['rooms', 'cleaning staff', 'job']","['positive', 'positive', 'positive']"
Suddenly the value of its shares fell.,['value of its shares'],['negative']
Super fast and stable.,['fast'],['positive']
TV colors are natural and comfortable for eyes ... also TV provide with eye-care  feature .,"['TV colors', 'TV']","['positive', 'positive']"
"TV streaming service with excellent series, films and documentaries.","['series, films and documentaries.', 'TV streaming service']","['positive', 'positive']"
Terrible service I made my reservation 1 month in advance and had to re-register,['service'],['negative']
"The Fiat Premio has a fairly effective level of fuel consumption, but is not usually such a good friend of long trips",['long trips'],['negative']
"The Netflix stream service has a great price per month, and good quality of movies, but the variety for shows and movie are limited.","['quality of movies', 'price', 'variety for shows and movie']","['positive', 'positive', 'negative']"
The air staff were really helpful and friendly.,['air staff'],['positive']
"The airline was terrible, the service was very bad, plus one receptionist was rude to me.","['service', 'airline', 'receptionist']","['negative', 'negative', 'negative']"
The android phone is fast and has fair storage and is sold for good price,"['android phone', 'storage', 'price']","['positive', 'positive', 'positive']"
The architects are in charge of making the correct and most suitable distributions of the houses and any other structures.,['architects'],['positive']
"The atmosphere was very nice, a place if you want to impress your friends.","['place', 'atmosphere']","['positive', 'positive']"
"The baseball camp was clean and ready to use, however the tennis section is lacking, the net is broken, the bathrooms were clean, overall good facilities, i like them.","['net', 'the tennis section', 'The baseball camp', 'bathrooms']","['negative', 'negative', 'positive', 'positive']"
The bathrooms were very clean and tidy.,['bathrooms'],['positive']
