text,aspect,opinion,sentiment
– I loved the pumpkin ravioli and the goat cheese gnocchi ( 5 big ones to a plate instead of 20 or so little gnocchis ) and my sister loved her filet mignon on top of spinach and mashed potatoes .,"['pumpkin ravioli', 'goat cheese gnocchi', 'filet mignon on top of spinach and mashed potatoes']","['loved', 'loved', 'loved']","['POS', 'POS', 'POS']"
The ambiance was a peaceful and relaxing break amongst all the kids running around in Downtown Disney .,"['ambiance', 'ambiance']","['peaceful', 'relaxing']","['POS', 'POS']"
Best Indian food in L.A .,['Indian food'],['Best'],['POS']
The chicken curry and chicken tikka masala are my favorite meat dishes .,"['chicken curry', 'chicken tikka masala']","['favorite', 'favorite']","['POS', 'POS']"
The chana masala ( garbanzo beans ) are also excellent .,['chana masala ( garbanzo beans )'],['excellent'],['POS']
"It 's located in a strip mall near the Beverly Center , not the greatest location , but the food keeps me coming back for more .",['location'],['not the greatest'],['NEU']
Never too crowded and always great service .,['service'],['great'],['POS']
I can highly recommend their various saag and paneer and korma .,"['saag', 'paneer', 'korma']","['recommend', 'recommend', 'recommend']","['POS', 'POS', 'POS']"
I appreciate their delivery too .,['delivery'],['appreciate'],['POS']
Nice food but no spice !,['food'],['Nice'],['NEG']
– I really enjoyed my meal here .,['meal'],['enjoyed'],['POS']
"I had yummy lamb korma , saag paneer , samosas , naan , etc .","['lamb korma', 'saag paneer', 'samosas', 'naan']","['yummy', 'yummy', 'yummy', 'yummy']","['POS', 'POS', 'POS', 'POS']"
The food was all good but it was way too mild .,"['food', 'food']","['good', 'too mild']","['NEG', 'NEG']"
"The naan was some of the best I 've had and I really enjoyed the bhartha , not too tomatoey .","['naan', 'bhartha']","['best', 'enjoyed']","['POS', 'POS']"
"Even the chickpeas , which I normally find too dry , were good .",['chickpeas'],['good'],['POS']
"– I do n't understand how I was a stranger to this place for so long ... the fajita salad , the colorado , the fajitas - EVERYTHING is delicious .","['fajita salad', 'colorado', 'fajitas']","['delicious', 'delicious', 'delicious']","['POS', 'POS', 'POS']"
I love the warm & cosy environment .,"['environment', 'environment']","['warm', 'cosy']","['POS', 'POS']"
"best restaurant in the world , great decor , great customer service , friendly manager","['restaurant', 'decor', 'customer service', 'manager']","['best', 'great', 'great', 'friendly']","['POS', 'POS', 'POS', 'POS']"
i am never disappointed with there food .,['food'],['never disappointed'],['POS']
the atmosphere is great .,['atmosphere'],['great'],['POS']
great lunch spot,['lunch spot'],['great'],['POS']
– Great financial district mexican spot .,['mexican spot'],['Great'],['POS']
"Always busy , but they are good at seating you promptly and have quick service .",['service'],['quick'],['POS']
"Everything I 've had here is good , taco salads , burritos , enchiladas i love this place .","['taco salads', 'burritos', 'enchiladas', 'place']","['good', 'good', 'good', 'love']","['POS', 'POS', 'POS', 'POS']"
Also have great margaritas !,['margaritas'],['great'],['POS']
The food is simply unforgettable !,['food'],['unforgettable'],['POS']
The staff are friendly and the decor was ethic and colorful .,"['staff', 'decor', 'decor']","['friendly', 'ethic', 'colorful']","['POS', 'POS', 'POS']"
Holy Hummus !,['Hummus'],['Holy'],['POS']
"– The food is here is incredible , though the quality is inconsistent during lunch .",['food'],['incredible'],['POS']
"Dinners have always been excellent , in terms of food quality .",['Dinners'],['excellent'],['POS']
"The side of potatoes is to die for , as is the labne ( yogurt dip ) .","['side of potatoes', 'labne ( yogurt dip )']","['die for', 'side of potatoes']","['POS', 'POS']"
"Also , they serve THE best hummus in America , with a drizzle of fragrant olive oil ( which , I believe is the traditional way ) !",['hummus'],['best'],['POS']
The only drawback is the crowded seating and the slow service .,"['seating', 'service']","['crowded', 'slow']","['NEG', 'NEG']"
"However , this place is a gem , and I wo n't stop going back .",['place'],['gem'],['POS']
great beer,['beer'],['great'],['POS']
I swore never to return for a warm beer and mediocre meal .,"['beer', 'meal']","['warm', 'mediocre']","['NEG', 'NEG']"
The band was very good and the service was attentive .,"['band', 'service']","['good', 'attentive']","['POS', 'POS']"
"We ordered a selection of the small plates , and the shoe string onions , goat cheese pizza , grilled asparagus and fried brie with fruit were all very good .","['shoe string onions', 'goat cheese pizza', 'grilled asparagus', 'fried brie with fruit']","['good', 'good', 'good', 'good']","['POS', 'POS', 'POS', 'POS']"
Seattle 's BEST Winelist,['Winelist'],['BEST'],['POS']
"The sommelier is fantastic , down-to-earth , & extremely knowlegable .","['sommelier', 'sommelier', 'sommelier']","['fantastic', 'down-to-earth', 'knowlegable']","['POS', 'POS', 'POS']"
"The food is not what it once was ( potions have seriously seen downsizing ) prices have gone up , and the service is the worst I have experienced anywhere ( including mainland Europe ) .",['service'],['worst'],['NEG']
Open & Cool Place with the Best Pizza and Coffee,"['Place', 'Pizza', 'Coffee']","['Cool', 'Best', 'Best']","['POS', 'POS', 'POS']"
– Mioposto has a very creative & delicious pizza menu .,"['pizza menu', 'pizza menu']","['creative', 'delicious']","['POS', 'POS']"
"The coffe is very good , too .",['coffe'],['good'],['POS']
Great open and friendly ambience .,"['ambience', 'ambience']","['Great open', 'friendly']","['POS', 'POS']"
This place is charming and relaxing .,"['place', 'place']","['charming', 'relaxing']","['POS', 'POS']"
The servers behind the counter are always friendly and helpful .,"['servers behind the counter', 'servers behind the counter']","['friendly', 'helpful']","['POS', 'POS']"
It 's a great place to enjoy food and meet friends .,"['food', 'place']","['enjoy', 'great']","['POS', 'POS']"
"Great food , spectacular location , and friendly service keep us coming back year after year .","['food', 'location', 'service']","['Great', 'spectacular', 'friendly']","['POS', 'POS', 'POS']"
Enjoyed the food,['food'],['Enjoyed'],['POS']
Food was good and cheap .,"['Food', 'Food']","['good', 'cheap']","['POS', 'POS']"
I had the kafta plate and I enjoyed it .,['kafta plate'],['enjoyed'],['POS']
Atmosphere was nice .,['Atmosphere'],['nice'],['POS']
"Service was kind of slow , our waitress took forever to give us our check even though it was n't that busy .",['Service'],['slow'],['NEG']
Still I would recommend this place .,['place'],['recommend'],['POS']
WHAT ELSE CAN YOU SAY NICE PEOPLE AMAZING FOOD WOW,"['FOOD', 'PEOPLE']","['AMAZING', 'NICE']","['POS', 'POS']"
Great food with an awesome atmosphere !,"['food', 'atmosphere']","['Great', 'awesome']","['POS', 'POS']"
"– Eggs , pancakes , potatoes , fresh fruit and yogurt -- everything they serve is delicious .","['Eggs', 'pancakes', 'potatoes', 'fresh fruit', 'yogurt']","['delicious', 'delicious', 'delicious', 'delicious', 'delicious']","['POS', 'POS', 'POS', 'POS', 'POS']"
great meal – the fish on the omikase platter was absolutely decadent -- there was none of the stringiness that sometimes accompanies fair sushi -- this fish was perfect ! ! ! !,"['meal', 'fish on the omikase platter', 'fish on the omikase platter']","['great', 'decadent', 'perfect']","['POS', 'POS', 'POS']"
"plus , i am allergic to rice , and the waitstaff was unbelievably accomodating -- did n't even bat an eye !",['waitstaff'],['accomodating'],['POS']
and the waiter suggested a perfect sake ! !,['sake'],['perfect'],['POS']
Unbeatable sushi !,['sushi'],['Unbeatable'],['POS']
"Melt in your mouth nigiri and sashmi , and very tasty rolls too .",['rolls'],['tasty'],['POS']
Be sure to try the oyster roll .,['oyster roll'],['try'],['POS']
"– How to describe the best sushi in NYC : hmmmm , delicious , amazing , fantastic , suculent , perfect , nah , all of the above .",['sushi'],['best'],['POS']
The best Chuwam Mushi I have ever had .,['Chuwam Mushi'],['best'],['POS']
"Good Sushi , High Price",['Sushi'],['Good'],['NEG']
One of the best Sushi place in town .,['Sushi place'],['best'],['POS']
The house special roll is really good .,['house special roll'],['good'],['POS']
"– I ca n't believe Murphy 's has been around for over 25 years , amazing .","[""Murphy 's""]",['amazing'],['POS']
"Brunch at Murphy 's is to die for , my specialty ... egg white omelet , the food is always freshly prepared .",['food'],['freshly prepared'],['POS']
It 's the perfect spot for a romantic date for 2 or a secret rendezvous !,['spot'],['perfect'],['POS']
Save room for scrumptious desserts .,['desserts'],['scrumptious'],['POS']
The restaurant offers an extensive wine list and an ambiance you wo n't forget !,"['wine list', 'ambiance']","['extensive', ""wo n't forget""]","['POS', 'POS']"
– Best Mexican place for lunch in the financial district .,['Mexican place'],['Best'],['POS']
Love the enchiladas and chicken soup - and be sure to check out their specials .,"['enchiladas', 'chicken soup']","['Love', 'Love']","['POS', 'POS']"
"Can get busy on Fridays for a table but once seated , the service is so efficient you can be in and out of there quickly .",['service'],['efficient'],['POS']
The sushi was excellent and the wait staff was quick .,"['sushi', 'wait staff']","['excellent', 'quick']","['POS', 'POS']"
The atmosphere was just okay .,['atmosphere'],['okay'],['NEU']
"Space was limited , but the food made up for it .",['Space'],['limited'],['NEG']
We stood there for 10 minutes while employees walked back and forth ignoring us .,['employees'],['ignoring'],['NEG']
The Caesar salad I ordered had so much lemon I could n't eat it .,['Caesar salad'],"[""could n't eat""]",['NEG']
"Great food , better Margaritas !","['food', 'Margaritas']","['Great', 'better']","['POS', 'POS']"
"– This is one of my top lunch spots , huge portions , fast service and amazing margaritas ! !","['portions', 'service', 'margaritas']","['huge', 'fast', 'amazing']","['POS', 'POS', 'POS']"
"it gets really busy , so get there on the early side so you can grab a seat , if you do have to wait , its not bad because the service is quick !",['service'],['quick'],['POS']
"Check out the art on the walls , very colorful !",['art on the walls'],['colorful'],['POS']
i love this place !,['place'],['love'],['POS']
– i have been eating at this place for over 8 years now and i have never had one bad meal .,['meal'],['bad'],['POS']
The lunch menu is an awesome deal !,['lunch menu'],['awesome'],['POS']
"plenty of food , trust me .",['food'],['plenty of'],['POS']
Fresh ingrediants and super tasty .,"['ingrediants', 'ingrediants']","['Fresh', 'tasty']","['POS', 'POS']"
"Best food , phenominal service","['food', 'service']","['Best', 'phenominal']","['POS', 'POS']"
"For the finicky sushi eater and those who have sampled the best NYC has to offer , the fish is the freshest and the service is superb .","['fish', 'service']","['freshest', 'superb']","['POS', 'POS']"
"Not only can the selection be innovative , but there 's a nice balance of traditional sushi as well .","['selection', 'sushi', 'sushi']","['innovative', 'nice', 'traditional']","['POS', 'POS', 'POS']"
The nicest waiters in town .,['waiters'],['nicest'],['POS']
– This place is unbelievably over-rated .,['place'],['over-rated'],['NEG']
"If I want to stand in line on Sunday for an hour to get average brunch food , then I would put Murphy 's at the top of the list .",['brunch food'],['average'],['NEU']
The regular menu here is slightly above average that is not worth the snotty attitude that you receive .,"['regular menu', 'regular menu']","['above average', 'not worth the snotty attitude']","['NEU', 'NEU']"
"Your a sushi fan , you love expertly cut fish , great sake , a killer SOHO location , and of course : Salmon , Tuna , Fluke , Yellow Tail , Cod , Mackeral , Jellyfish , Sea Urchin , Shrimp , Lobster , Sea Bream , Trout , Milk Fish , Blue Fin Tuna , Eel , Crab , Sardine , Monk Fish , Roe , Scallop , Oysters , and a varity of Toro .","['fish', 'sake', 'SOHO location']","['love expertly cut', 'great', 'killer']","['POS', 'POS', 'POS']"
Bring your cell phone cause you may have to wait to get into the best sushi restaurant in the world : BLUE RIBBON SUSHI .,['BLUE RIBBON SUSHI'],['best'],['POS']
"Hands down , the best tuna I have ever had .",['tuna'],['best'],['POS']
Blue Ribbon lives up to it 's fantastic reputation .,['Blue Ribbon'],['fantastic'],['POS']
Great value sushi with high quality & nice setting .,"['sushi', 'sushi', 'sushi', 'setting']","['Great value', 'high quality', 'nice setting', 'nice']","['POS', 'POS', 'POS', 'POS']"
Try the Chef 's Choice for sushi as the smoked yellowtail was incredible and the rolls were also tasty .,"['rolls', 'smoked yellowtail']","['tasty', 'incredible']","['POS', 'POS']"
Poor customer service / poor pizza .,"['customer service', 'pizza']","['Poor', 'Poor']","['NEG', 'NEG']"
"– As with most restaurants in Seattle , Mioposto 's service was bad and the food was overpriced .","['service', 'food']","['bad', 'overpriced']","['NEG', 'NEG']"
"I know many people have their favorite types of pizza and pizza places , but Mioposto 's pizza lacks quality and good taste .",['pizza'],['lacks quality and good taste'],['NEG']
"To be honest , I 've had better frozen pizza .",['pizza'],['better'],['NEG']
The only positive thing about Mioposto is the nice location .,['location'],['nice'],['POS']
"I was frankly shocked when I read the bad reviews - this place is fantastic ; it has not let us down in any way , and we 've eaten here more than 10 times .",['place'],['fantastic'],['POS']
"The food is fantastic , and the waiting staff has been perfect every single time we 've been there .","['food', 'waiting staff']","['fantastic', 'perfect']","['POS', 'POS']"
Seabass on lobster risotto was the best .,['Seabass on lobster risotto'],['best'],['POS']
Caesar salad was superb .,['Caesar salad'],['superb'],['POS']
Great bottle of wine .,['bottle of wine'],['Great'],['POS']
"The food was ok , but the service was so poor that the food was cold buy the time everyone in my party was served .","['food', 'service']","['ok', 'poor']","['NEU', 'NEG']"
AVOID THE PLACE,['PLACE'],['AVOID'],['NEG']
When I got there I sat up stairs where the atmosphere was cozy & the service was horrible !,"['atmosphere', 'service']","['cozy', 'horrible']","['POS', 'NEG']"
We left without ever getting service .,['service'],['without ever'],['NEG']
Best Crab Cakes in Town,['Crab Cakes'],['Best'],['POS']
"Great seasonal fish and seafood , with a classy waterfront setting .","['seasonal fish', 'seafood', 'waterfront setting']","['Great', 'Great', 'classy']","['POS', 'POS', 'POS']"
"Great Pizza , Poor Service","['Pizza', 'Service']","['Great', 'Poor']","['POS', 'NEG']"
"– Love their pizza , especially the mushroom pizza .","['pizza', 'mushroom pizza']","['Love', 'Love']","['POS', 'POS']"
Also love their caeser salad .,['caeser salad'],['love'],['POS']
"Prefer to order it and pick it up though because I do n't like the servers , one young woman in particular .","['servers', 'young woman']","[""do n't like"", ""do n't like""]","['NEG', 'NEG']"
"Many people talk about the great pizza and poor service , so it ca n't just be the rantings of a few dissatisfied customers .","['pizza', 'service']","['great', 'poor']","['POS', 'NEG']"
It 's a great little place with tons of potential to be a neighborhood joint if the service were n't so impersonal and corporate-like .,['place'],['great little'],['POS']
Great Breakfast,['Breakfast'],['Great'],['POS']
The food is great and they make a mean bloody mary .,"['food', 'bloody mary']","['great', 'mean']","['POS', 'POS']"
I love breakfast here .,['breakfast'],['love'],['POS']
Their crab eggs benedict is addicting .,['crab eggs benedict'],['addicting'],['POS']
"All their menu items are a hit , and they serve mimosas .",['menu items'],['hit'],['POS']
best chinese food i have tasted in a long time,['chinese food'],['best'],['POS']
the ambiance of the restaurant was nice and good for fine dinning .,"['ambiance', 'ambiance']","['nice', 'good']","['POS', 'POS']"
the staff was very nice and courteous and obviously chinese .,"['staff', 'staff', 'staff']","['nice', 'courteous', 'chinese']","['POS', 'POS', 'POS']"
"so about the prawns , they were fresh and had a slight crispiness about the batter ... soooo good ... the walnuts were cut in smaller pieces and very crunchy and tasty .","['prawns', 'batter', 'walnuts', 'walnuts']","['fresh', 'crispiness', 'crunchy', 'tasty']","['POS', 'POS', 'POS', 'POS']"
best honey walnyt prawns that we have every tasted .,['honey walnyt prawns'],['best'],['POS']
the brocollis were so fresh and tasty .,"['brocollis', 'brocollis']","['fresh', 'tasty']","['POS', 'POS']"
"i would normally not finish the brocolli when i order these kinds of food but for the first time , every piece was as eventful as the first one ... the scallops and prawns was so fresh and nicely cooked .","['scallops', 'scallops', 'prawns', 'prawns']","['fresh', 'nicely cooked', 'fresh', 'nicely cooked']","['POS', 'POS', 'POS', 'POS']"
Chintzy portions,['portions'],['Chintzy'],['NEG']
"– The sushi here is perfectly good , but for $ 5 a piece , either the slices of fish should be larger , or there should be no pretense that this is a moderately priced restaurant ( even for NYC ) .","['sushi', 'restaurant']","['good', 'moderately priced']","['NEG', 'NEG']"
"Terrible service , food ok , pricey","['service', 'food']","['Terrible', 'ok']","['NEG', 'NEU']"
"Food wise , its ok but a bit pricey for what you get considering the restaurant is n't a fancy place .","['Food', 'Food', 'restaurant']","['ok', 'pricey', ""is n't a fancy""]","['NEU', 'NEU', 'NEU']"
Another plus is the open feel of the restaurant with glass walls on all sides .,"['feel', 'feel']","['plus', 'open']","['POS', 'POS']"
Amazing Spanish Mackeral special appetizer and perfect box sushi ( that eel with avodcao -- um um um ) .,"['Spanish Mackeral special appetizer', 'box sushi']","['Amazing', 'perfect']","['POS', 'POS']"
"As usual the omikase did n't disappoint in freshness , although it scored low on creativity and selection .","['omikase', 'omikase']","[""did n't disappoint"", 'scored low on creativity and selection']","['NEG', 'NEG']"
"Their specialty rolls are impressive , though I ca n't remember what we had .",['specialty rolls'],['impressive'],['POS']
Great selection of sakes .,['selection of sakes'],['Great'],['POS']
It is n't the cheapest sushi but has been worth it every time .,"['sushi', 'sushi']","[""is n't the cheapest"", 'worth']","['POS', 'POS']"
Very poor customer service .,['customer service'],['poor'],['NEG']
"– Schooner or Later 's charming location along the marina in Long Beach and average food does not , unfortunately , compensate for its very poor customer service .",['customer service'],['poor'],['NEG']
"While this diner had reasonably good food , the restaurant staff seemed completely indifferent to our presence , and this attitude was reflected in the lack of service .","['food', 'restaurant staff']","['good', 'indifferent']","['POS', 'NEG']"
"the fish was fresh , though it was cut very thin .","['fish', 'fish']","['fresh', 'thin']","['NEG', 'NEG']"
great service .,['service'],['great'],['POS']
good sake selection .,['sake selection'],['good'],['POS']
– Ray 's is THE place to go for high quality seafood dinners .,['seafood dinners'],['high quality'],['POS']
I love Dungeness crabs and at Ray 's you can get them served in about 6 different ways !,['Dungeness crabs'],['love'],['POS']
We shared the family platter and I especially enjoyed the black cod in sake kasu .,['black cod in sake kasu'],['enjoyed'],['POS']
I ended the meal with the unusual dessert of a port and chocolate tasting ... yummy !,['dessert of a port and chocolate tasting'],['yummy'],['POS']
And the service was simply spendid - quite a delight .,"['service', 'service']","['spendid', 'delight']","['POS', 'POS']"
Great Breakfast,['Breakfast'],['Great'],['POS']
"– Great drinks , corn beef hash , coffee , B Fast burritos , Gluten Free menu .","['drinks', 'corn beef hash', 'coffee', 'B Fast burritos', 'menu']","['Great', 'Great', 'Great', 'Great', 'Great']","['POS', 'POS', 'POS', 'POS', 'POS']"
The service is fantastic at this fun place .,"['service', 'place']","['fantastic', 'fun']","['POS', 'POS']"
Best Neighborhood Standby .,['Standby'],['Best'],['POS']
In Grammercy/Union Square/East Village this is my neighbors and my favorite spot .,['spot'],['favorite'],['POS']
"The music is great , no night better or worse , the bar tenders are generous with the pouring , and the lighthearted atmosphere will lifts you spirits .","['music', 'bar tenders', 'atmosphere']","['great', 'generous', 'lighthearted']","['POS', 'POS', 'POS']"
"Oh , and the cheese fries are awesome !",['cheese fries'],['awesome'],['POS']
"Good Food , Great Service , Average Prices ( For the Strip )","['Food', 'Service']","['Good', 'Great']","['POS', 'POS']"
"When I walked in , I was taken aback by their incredible wood decor .",['wood decor'],['incredible'],['POS']
"The music playing was very hip , 20-30 something pop music , but the subwoofer to the sound system was located under my seat , which became annoying midway through dinner .",['subwoofer to the sound system'],['annoying'],['NEG']
I got the shellfish and shrimp appetizer and it was alright .,['shellfish and shrimp appetizer'],['alright'],['NEU']
"It was n't the freshest seafood ever , but the taste and presentation was OK .","['seafood', 'seafood']","[""was n't the freshest"", 'OK']","['NEU', 'NEU']"
"I picked the asparagus , which turned out to be incredible and perfectly prepared .","['asparagus', 'asparagus']","['incredible', 'perfectly prepared']","['POS', 'POS']"
The steak was done to my exact liking ( medium rare ) and was nice and juicy .,"['steak', 'steak']","['nice', 'juicy']","['POS', 'POS']"
"It ? s served with either a peppercorn sauce or red wine reduction , though both were indistinguishable in taste .","['peppercorn sauce', 'red wine reduction']","['indistinguishable', 'indistinguishable']","['NEU', 'NEU']"
The desert was the perfect ending to an almost perfect dinner .,"['desert', 'dinner']","['perfect', 'perfect']","['POS', 'POS']"
But the servers were extremely attentive and very friendly .,"['servers', 'servers']","['attentive', 'friendly']","['POS', 'POS']"
"good sake , good food – i honestly do n't know much about japanese food at all .","['sake', 'food']","['good', 'good']","['POS', 'POS']"
Server made several sake suggestions which were very good .,['sake'],['good'],['POS']
had many dishes but the BEST was the lobster 3 ways .,['lobster 3 ways'],['BEST'],['POS']
The waiter was a bit unfriendly and the feel of the restaurant was crowded .,"['waiter', 'feel']","['unfriendly', 'crowded']","['NEG', 'NEG']"
"Most importantly , we were so excited about the food after seeing the very creative menu .",['menu'],['creative'],['POS']
"At best , the food was good and definately overpriced .","['food', 'food']","['good', 'overpriced']","['NEG', 'NEG']"
My favortie pizza joint in Seattle,['pizza joint'],['favortie'],['POS']
The pizza is delicious and the salads are fantastic .,"['pizza', 'salads']","['delicious', 'fantastic']","['POS', 'POS']"
"I 've always found the wait staff and , if you sit at the bar , the cooks very friendly .",['cooks'],['friendly'],['POS']
I also really enjoy the simplicity of the decor and intimate feeling of a small restaurant .,"['decor', 'decor', 'feeling']","['enjoy', 'simplicity', 'intimate']","['POS', 'POS', 'POS']"
– My husband and I love eating at Mioposto Café .,['Mioposto Café'],['love'],['POS']
You won ’ t be disappointed by their menu .,['menu'],['won ’ t be disappointed'],['POS']
The pizza ’ s are thin crust and the menu offers very creative combinations and toppings .,['menu'],['creative'],['POS']
Try the Pizza Ensalata !,['Pizza Ensalata'],['Try'],['POS']
The pizza ’ s are not huge and the crust is thin ... keep that in mind when you ’ re ordering .,['crust'],['thin'],['NEU']
The food is sinful .,['food'],['sinful'],['POS']
The staff was really friendly .,['staff'],['friendly'],['POS']
The atmosphere was great .,['atmosphere'],['great'],['POS']
"The specialty here is decadent pancakes , but I 've been back now four times , and I 've been wowed every time .",['pancakes'],['decadent'],['POS']
Nothing on the menu is less than amazing .,['menu'],['amazing'],['POS']
