sentence Id,sentence,aspect_term,polarity
92,How to make your presentations enthralling and packed with impact : Deliver them like steve jobs :,['steve jobs'],['neutral']
93,if this retarded ellen degeneres look alike bitch don get the fuck up out my mentions . all hell is gon na break loose .,['ellen degeneres'],['negative']
94,Mmmm & I forgot how much I love having a ipad . Even if it is slightly pointless !,['ipad'],['positive']
95,Magical steve jobs to help Disney stores become mini theme parks,['steve jobs'],['neutral']
96,say what you will about hillary clinton . the woman has a gift for retaining info and is a master interviewee . watching her on '' amanpour . '',['hillary clinton'],['neutral']
97,ill order a bitch with a kim kardashian ass trina attitude and monica face is that on the menu ?,['kim kardashian'],['negative']
98,I won 6 achievements in harry potter,['harry potter'],['positive']
99,britney spears releases '' 3 '' and a year and a half ago was just a hot mess and we say legend . gag creates art . we call her dude ?,['britney spears'],['neutral']
100,"xbox + $ 100 gift card for $ 200 this weekend ! hello , beatles rock band :",['xbox'],['neutral']
101,mandy moore nude video Check out the latest mandy moore nude sex videos and other funny videos from ... mandy moore fansite with latest picture,['mandy moore'],['negative']
102,A leopard never changes his stripes . -LRB- al gore -RRB- WisdomTweets .,['al gore'],['positive']
103,noul album ` fame : the monster ` a lui lady gag va fi lansat in 24 nov in aceas zi cu cel a lui britney spears www.cr15t1.webs.com/blog.htm,['britney spears'],['neutral']
104,"gossip girls >> lindsay lohan : post-court pampering : after spending her morning in court , l . .",['lindsay lohan'],['neutral']
105,"StatusLive Lol I never had love for the lakers yo . My nigga C10music is a die hard Laker fan , and a even more die hard Kobe fan . . SMH .",['lakers'],['negative']
106,"66 . my favorite singers are The Pretty Reckless , taylor swift , Selena , Demi , Miley , Short Stack and Plumb -LRB- yes , Plumb is a band -RRB-",['taylor swift'],['positive']
107,McCain was for Gadhafi before he was against him : I noted earlier that Sen. john mccain has taken a strange ... . is US,['john mccain'],['neutral']
108,"vista sold more pcs than windows 7 did : ironically , it was the computer manufacturers who did best in feb . 2007 . .",['windows 7'],['neutral']
109,Sister madonna Buder made the time cut on the swim ironman . She 's 79 yo & on the bike-she 's finished 36 roman events .,['madonna'],['negative']
110,thanks for google wave jillglavan . i am successfully as confused as you .,['google wave'],['positive']
111,"we don do the soulja boy 's and crime mobs , we do the j-lo 's and britney spears",['britney spears'],['neutral']
112,lol . nahh . if that 's the case then it 's a lousy application . it would n't even let me log in and hanged my ipod sia . t_t,['ipod'],['neutral']
113,There 's also the theory that the real steve jobs is actually the turtleneck he wears . The body is a decoy . runita,['steve jobs'],['negative']
114,Demand justin bieber in Lisbon at Eventful - .,['justin bieber'],['positive']
115,Born This Way - lady gaga : ... .,['lady gaga'],['neutral']
116,i have my doubts that that 's lindsay lohan ...,['lindsay lohan'],['neutral']
117,nicolas cage drowning in debt - bodog beat,['nicolas cage'],['negative']
118,im a micheal jackson lover hah . xD -LRB- via ASiAbAbbi -RRB- < ~ mee too adorebrittanyox Meee Three ! Have you guys saw My wallpaper : -RRB-,['micheal jackson'],['positive']
119,A warm welcome to hillary clinton ! Max,['hillary clinton'],['neutral']
120,me too . maggiedana yankee kindle ? mariblaser as soon as they come out with that kindle that smells like a book ! they got me ! writechat,['kindle'],['neutral']
121,mlbpulse angels errors more contagious than lindsay lohan genital warts at promises .,['lindsay lohan'],['negative']
122,misskish0h9 BarOfTheDay : my motto get money that 's it/mastering the green game like tiger woods an ...,['tiger woods'],['positive']
123,"on this day in 2002 , former president jimmy carter won the nobel peace prize . history",['jimmy carter'],['neutral']
124,"In the time Ive spent waiting for a special someone to do their blackhair , I could 've translated all the harry potter books into Latin .",['harry potter'],['neutral']
125,Fuck the lakers LOL . . Teamceltics,['lakers'],['negative']
126,downloaded it . like it ! 4 record did n't like amy song britney spears & risque 3 ; to debut atop hot 100,['britney spears'],['positive']
127,-LSB- cnn -RSB- -LSB- crime -RSB- lohan told next violation means jail : lindsay lohan will be heading to jail if a judge . .,['lindsay lohan'],['neutral']
128,Kids admire steve jobs more than Oprah and the Olsen twins Ask your kids who they look up to kids apple,['steve jobs'],['neutral']
129,RT : DaKiDJAY17 '' FuckYeahAwny hahaha NEVER ! Mine like kim kardashian ... yours like Khloe ... O '' damn i don even wan na play anymore :-LRB- ha,['kim kardashian'],['negative']
130,Extremely random snow day . Win . Thanks charlie sheen !,['charlie sheen'],['positive']
131,so dumb I had to RT it : box Signed by sarah palin Will Set You Back $ 1.1 Million -LRB- Plus Shipping -RRB- -,['sarah palin'],['neutral']
132,'' WeezyDaGreat : lady gaga concert tonight anybody ??? '' < -- your going ? Lol,['lady gaga'],['neutral']
133,So its okay 4 George Bush to do what evah he wants & asking questions is unpatriotic-but obama is supposed 2 state every move in advance-libya,['obama'],['negative']
134,"ms dhoni has emerged as my hero ! Honest , confident and to top it all totally humble . Kudos !",['ms dhoni'],['positive']
135,hi ! i think you look like lindsay lohan ...,['lindsay lohan'],['neutral']
136,- lol thats bit harry potter like : ' D : P,['harry potter'],['neutral']
137,did n't want to get wet so i read all the newspapers on my laptop this morning . shame the kindle is disappointing .,['kindle'],['negative']
138,"hambling242 you love lady gaga , well I was going to follow you .",['lady gaga'],['positive']
139,"i know it 's anecdotal , but the kindle application , stanza and classics are some of the most popular apps i see",['kindle'],['neutral']
140,trying on '' dress clothes '' for work ughhh booty n thighs hatin man aint shit open ! Grrrr now I 'm mad real mad micheal jackson,['micheal jackson'],['neutral']
141,okay i will be a little more reasonable ... Comparing Keyshia Cole to alicia keys is like comparing Lloyd to Chris Brown,['alicia keys'],['negative']
142,download britney spears '' kill the lights '' . i 've loved her since day one & it 's definitely one of her best songs ever,['britney spears'],['positive']
143,just woke up from a dream about me and lindsay lohan going shopping at target . wtf,['lindsay lohan'],['neutral']
144,- I saw FSM Pres Mori on 10/1 . He 'd met w/Sec . hillary clinton who said US willing to expand USAID & Peace Corps in Pacific Islands .,['hillary clinton'],['neutral']
145,"'' They did n't know how I feel inside , through my smile I cry '' - alicia keys '' Caged Bird ''",['alicia keys'],['negative']
146,I love google ! as a whole with all its services,['google'],['positive']
147,love watching the Cowboys play especially when they WIN . Now watching harry potter . ...,['harry potter'],['neutral']
148,alicia keys '' That 's how strong my love is '' just made me tear up a little bit .,['alicia keys'],['neutral']
149,i wonder what the freak is wrong with the zune software like seriously they need to get this stuff straightened out . damn you bill gates !,['bill gates'],['negative']
150,selena gomez stoptheselenahate :-RRB- because I 'm a selenator and I ADORE Justin and miley cyrus : L ! so STOP THE HATE,['miley cyrus'],['positive']
151,lindsay lohan -- late for a very important date ! -,['lindsay lohan'],['neutral']
152,"mm lady gag - starstruck , britney spears - radar , madonna - celebration rihanna - te amo shakira - did it again pixie lott - mama do",['britney spears'],['neutral']
153,Yumagk21_1 Apple Survey - Are Apple products any good ? ipad sucks ? apple .,['ipad'],['negative']
154,im totally on twitter on my wii right now ... im super cool :3,['wii'],['positive']
155,"lindsay lohan ' s love shot down ! : e ! online but where there 's a broken heart , there 's a twitter acco . .",['lindsay lohan'],['neutral']
156,"Oh , please do n't change - it 's as good as the '' whips-n-chains , '' tatooed sarah palin avatar pimped at the other end of the spectrum",['sarah palin'],['neutral']
157,she means that our face like lindsay lohan : ha what is she mean by judge us as a mean girl ?,['lindsay lohan'],['negative']
158,Finished reading all harry potter books ! They were even more awesome then the movies ! : D,['harry potter'],['positive']
159,It 's official . FedEx arrived and I now have 128GB of ipad . Now to fix that and turn Lovely Wife 's frown into a smile . fb,['ipad'],['neutral']
160,"Focus on al-Qaeda , not Taliban : An official says President barack obama is prepared to accept some Taliban invo . .",['barack obama'],['neutral']
161,William Bradley : Obama 's Biggest Problems Still Lie Abroad : President barack obama has no shortage of nasty cri ... .,['barack obama'],['negative']
162,gagafanforever8 ahh ... you love lady gaga,['lady gaga'],['positive']
163,should twitter be like wii and have a time out window pop up that tells you to go outside and stretch your legs ?,['wii'],['neutral']
164,is this for the ipod touch or phone . dino i have a friend with a phone that thimks jailbreaking is illegal .,['ipod'],['neutral']
165,words ca n't express how much i loathe nicolas cage .,['nicolas cage'],['negative']
166,"lol forever . You guys put on a great show ! Stephen Colbert sang ' Friday ' on jimmy fallon . They raised $ 86,000 for Donors Choose . awesome",['jimmy fallon'],['positive']
167,xbox live : chaos mastermx is currently online . playing halo waypoint . watching videos . -LRB- xbox live nation -RRB-,['xbox'],['neutral']
168,"hoosierbeergeek england - staying in Brighton on the sea front -LRB- beach -RRB- , my office is in burgis hill ... google it , its pretty awesome",['google'],['neutral']
169,is an indian version of lindsay lohan . in the worse way . suck it samronson,['lindsay lohan'],['negative']
170,i love demi lovato ... and i really think teenagers in Malaysia should look up to her . she 's a Really good example SoMalaysian staronline,['demi lovato'],['positive']
171,"developer : phone can rival nintendo ds , sony psp for games ...",['psp'],['neutral']
172,how do you like settlers of catan for the xbox ?,['xbox'],['neutral']
173,and jimmy fallon and taylor hicks lmao,['jimmy fallon'],['negative']
174,"yeah this is true , i like windows 7 ... i just hate microsoft 's marketing department ... ; -RRB-",['windows 7'],['positive']
175,tiger woods follow through in 18th fairway looked like Larry Bird 's last shot in 1988 3-point contest . Replay after replay . golf,['tiger woods'],['neutral']
176,"Dame Maggie ' too frightened ' of stage after cancer battle , will ' stagger through ' last harry potter films .",['harry potter'],['neutral']
177,hilary swank : i let boyfriend 's son see me nude : but her revelation that she goes nude in real life -- in fro . .,['hilary swank'],['negative']
178,"Awesome ! KenTremendous : jimmy fallon is doing the coolest . show in late night , and here 's proof : . . '' this is f ** king great",['jimmy fallon'],['positive']
179,are you bothered by the lack of a proper menu with windows 7 ? here 's the solution .,['windows 7'],['neutral']
180,"was floored by the pilot on food stamps in the michael moore movie . sully should make more money than britney spears , right ?",['britney spears'],['neutral']
181,My right boob is like sarah palin ; always going rogue .,['sarah palin'],['negative']
182,oh justinbieber and taylorswift are in the same country ?? : o that 's amazing ! I wish I were british ... ha,['taylorswift'],['positive']
183,would you still like to borrow the kindle ?,['kindle'],['neutral']
184,i 've been surfing the google wave lately . i had high hopes but they have been dashed . perhaps it will redeem itself . googlewave,['google wave'],['neutral']
185,holy shit ! i would fucking kill to see hillary clinton ...,['hillary clinton'],['negative']
186,good list ! i love my wii fit : -RRB-,['wii'],['positive']
187,I love nikki Minaj ! She 's the black lady gaga but even better !!! I love you girrrlll,['lady gaga'],['neutral']
188,Where the hell did the Opinions section of my Voice issue go ? All I want to do is read witty articles and something to do with harry potter .,['harry potter'],['neutral']
189,"SonjaaRenee fuck ipad , people that follow me . fuck ipad",['ipad'],['negative']
190,"nowlistening britney , Rihanna , JLo feat Pitbull - Against the floor ... Love the vibe of this song ... . ''",['britney'],['positive']
191,as of britney spears ??!!! you know you rock her songs !!! lol -LRB- it 's cool -RRB-,['britney spears'],['neutral']
192,Something I came across reading strobist . harry potter like motion images . Check it out . Very cool :,['harry potter'],['neutral']
193,"i hate the lame lady gaga quizes on facebook . they are all the same . if i make one , that is really hard , will y' all take it ?",['lady gaga'],['negative']
194,my sister does n't believe i just kissed britney spears excellent :--RRB- will you ?,['britney spears'],['positive']
195,ha . . fucking iphone always corrects the wrong fucking words,['iphone'],['neutral']
196,"musicmonday my own way - honor society , everything youre not - demi lovato , tiffany blews - fall out boy , blur - britney spears : -RRB-",['britney spears'],['neutral']
197,fucking lakers only have black people playing on their team !! black people are good at basketball !! no wonder they are winning ! LETS GO KINGS,['lakers'],['negative']
198,Mfers still riding on Chris Brown but glorify charlie sheen . shrugs One is early 20s other almost 50 .,['charlie sheen'],['positive']
199,"and they 're coming out with a kindle reader for the pc , so you 'll be able to read your tech books on your computer . and search .",['kindle'],['neutral']
200,the upgrade version of windows 7 lets one move from any properly licensed version of windows experience or vista to windows 7 on that same computer,['windows 7'],['neutral']
201,the top 5 stars in need of help ... asap : lindsay lohan tops list of stars in danger of self-imploding .,['lindsay lohan'],['negative']
202,I liked a YouTube video -- selena gomez & The Scene - Who Says .,['selena gomez'],['positive']
203,just watched the 1st harry potter movie ... i love mini ron & harry ' - ',['harry potter'],['neutral']
204,britney spears funny pictures . . -,['britney spears'],['neutral']
205,'' Obama deserves the Nobel prize for the simple reason that if it were n't for him sarah palin would be in the White House . '',['sarah palin'],['neutral']
206,Woo 3 days until taylor swift !! I am so excited : D,['taylor swift'],['positive']
207,lindsay wants dad restraining order : lindsay lohan wants a restraining order against her father .,['lindsay lohan'],['neutral']
208,"; '' got me singing like na na na na e'er day , like my ipod ' is stuck on replay . '' cute cute cute . band later . text ? 5133355871",['ipod'],['neutral']
209,bad place to lose a contact lens . this alley behind the liquor store looks like the contents of lindsay lohan ' s stomach .,['lindsay lohan'],['negative']
210,"all of them are ... marc jacobs , lindsay lohan , kate mossb . but we love ' them ! i die !",['lindsay lohan'],['positive']
211,"maradona under pressure -LRB- source : BBC -RRB- : As Argentina struggle to reach the World Cup , can Diego maradona inspire . .",['maradona'],['neutral']
212,hey booboo baybay ! do you have a google wave invite by any chance ?! hahah my friend really wants one !!,['google wave'],['neutral']
213,"someone must hellaaaaaaaa hate britney spears with all those fake twitter accounts ! very known on twitter ... for that , smh stooopid !",['britney spears'],['negative']
214,"I used to think khloe kardashian was n't that pretty , but she is actually really pretty .",['khloe kardashian'],['positive']
215,lay on my head . . fuck my father . i even don know you . confession of the broken heart by lindsay lohan represent what i felt . do you ever loved me ?,['lindsay lohan'],['neutral']
216,iphone under attack from android invasion - pc world,['iphone'],['neutral']
217,Fuck Kobe And The lakers .,['lakers'],['negative']
218,i love harry potter and the deathly hallows,['harry potter'],['positive']
219,"Just talked to someone at adobe , they blame steve jobs for no flash . adobemax",['steve jobs'],['neutral']
220,am not sure if trey songz video is going to make it to television . . like wow ! -LRB- it will make it to my ipod though lol -RRB-,['ipod'],['neutral']
221,"the point is to be home and just relax/play xbox , dude . school sucks and the people there suck aswell",['xbox'],['negative']
222,windows 7 is the best marketing campaign that apple has ever come up with .,['windows 7'],['positive']
223,So now that I 'm done my homework I think it 's time to finally play that harry potter game my friend lent me like a week ago .,['harry potter'],['neutral']
224,joke : question : what did the chiefs ' fan do after kansas city won the super bowl ? answer : he turned off the xbox .,['xbox'],['neutral']
225,"Levi Johnston , dad to sarah palin ' s grandson , to pose in ' Playgirl ' . Glenn Beck vows to cancel his subscription . by markmorford",['sarah palin'],['negative']
226,"Lol at people who say ashley tisdale ca n't sing . Listen to Unlove You and Suddenly , then maybe next time you 'll think before you speak . ; -RRB-",['ashley tisdale'],['positive']
227,could this possibly be a good nicolas cage film ?,['nicolas cage'],['neutral']
228,good shit yayy im getting an xbox 360 on friday,['xbox'],['neutral']
229,obama has achieved even less than jimmy carter at this stage in his presidency . . even though i ca n't remember what jimmy did,['jimmy carter'],['negative']
230,":| People know me by my love for : Batman , JA Happ , San Francisco Giants , salami , Ryan Adams and mandy moore , my Muppet , and Cillian Murphy .",['mandy moore'],['positive']
231,babysit a lot ! ha ! i like wii but i 'm kinda glad we do n't have one !,['wii'],['neutral']
232,"russell brand Swaps His ' Tools ' For Gardening Tools : Well , we 've got ta hand it to Katy Perry . The popstar has we ... .",['russell brand'],['neutral']
233,"lady gaga Apologizes For ' Retarded ' Slur , Approves Weird Al Parody : lady gaga performs her Monster 's Ball tour a ... .",['lady gaga'],['negative']
234,"Well , I 'm very proud of barack obama for winning the Nobel Peace Prize .",['barack obama'],['positive']
235,"by magic . i 'll burn them to dvd for you , they 'll work on your xbox and computer , and if your dvd player is super special",['xbox'],['neutral']
236,"Watching justin timberlake 's music video for cry me a river , and all I can think is '' who in their right mind would cheat on jt ? '' ... smh .",['justin timberlake'],['neutral']
237,"There 's only one thing all these wars and tragedies havein common : anderson cooper . He 's always there first ! Katrina , before the copters !",['anderson cooper'],['negative']
238,"i wonder how many straight dudes do yoga on the wii fit ? because im not gon na lie , im pretty awesome now . . in other news i only weigh 150 pounds .",['wii'],['positive']
239,sorting out my ipod for the long bus ride to mancville . got ta get some banging choons on there ! i love long bus journeys !!!!,['ipod'],['neutral']
240,"i can get ubuntu 9.10 for free , and it 's better than windows 7 anyway !",['windows 7'],['neutral']
241,why does britney spears sound like she sings through her nose,['britney spears'],['negative']
242,wait is nikki minaj trying to be like lady gaga . . if so then is sucks at it . . GAGA is the BEST : D,['lady gaga'],['positive']
243,"she got that good good , she micheal jackson bad !! < = I like !",['micheal jackson'],['neutral']
244,vail tech : music moves even without ipod - vail daily news - vail tech : music moves even without ipod vail daily new ...,['ipod'],['neutral']
245,"I love this : on Huffington Post , Guy Richie quoted : '' madonna is retarded . '' Now THIS cracks me up .",['madonna'],['negative']
246,I upload a YouTube video -- lady gaga Bad Romance 2ndSource MoL .,['lady gaga'],['positive']
247,Madge 's row : madonna falls out with toyboy lover Jesus Luz over her marriage stance It seems Jesus Luz was n't i . .,['madonna'],['neutral']
248,we all miss you sweetie . tell madonna to come back soon :-RRB- -RRB- -RRB- -RRB- -RRB- kisses and lots of love from portugal,['madonna'],['neutral']
249,"I grew up as a Democrat . Thank God ! , I learned what was real . Do n't think I am completely biased . There are some good dem , but not obama .",['obama'],['negative']
250,"snedbrook asked : Listening to Esta Es Africa , I love shakira In Spanish . ha . .",['shakira'],['positive']
251,"i want to get a mp3 player for chelsea . we had an ipod , but she had some difficulty figuring out how to use it . thinking about ...",['ipod'],['neutral']
252,so this is what happens when you let yourself be dead in every film . '' nicolas cage millions in debt '' :,['nicolas cage'],['neutral']
253,How UGLY remote controller ... Just amazing how they really think UI ... Quick Tour - google television .,['google'],['negative']
254,feels bad for jimmy carter who actually deserved the peace prize ; what a shame to cheapen the honor . tcot,['jimmy carter'],['positive']
255,xbox live : oabgo i7vo good is currently offline . last seen 1 hour ago playing xbox 360 dashboard -LRB- xbox live nation -RRB-,['xbox'],['neutral']
256,technology news : nintendo wii 2 with full-hd video - in 2010 : resource maxconsole released fresh details about . .,['wii'],['neutral']
257,you like britney spears ? i 'm ashamed !!!,['britney spears'],['negative']
258,i hope i 'm 20 years old now ! SO My parents will let me to watch justin bieber concert,['justin bieber'],['positive']
259,'' redskins are first in history to play six straight winless teams . if it was any easier it 'd be lindsay lohan . '',['lindsay lohan'],['neutral']
260,LONDON - hillary clinton said the international community would not wait indefinitely for Iran,['hillary clinton'],['neutral']
261,then ill end up like lindsay lohan lol,['lindsay lohan'],['negative']
